Year,ID1,Latitude,Longitude,Elevation,MAT,MAP
1952,Chino Creek,39.73262,-121.4039,776,13.5,2018
1952,Coast Fork of Williamette,43.6517,-123.087997,254,10.6,1099
1952,Corral Creek,35.8529,-118.447304,982,14.2,569
1952,Deep Creek,41.66546,-123.113403,694,12.1,233
1952,Deer Creek,42.27525,-123.639999,387,11.4,1418
1952,Fiddle Creek,39.5204,-120.998199,706,12.8,2017
1952,Hauser Creek,32.65822,-116.532303,788,13.9,541
1952,Kitchen Creek,32.75206,-116.452202,1173,12.5,798
1952,Little Jameson Creek,39.74298,-120.704002,1592,7.7,1652
1952,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.7,1814
1952,Mill Creek,34.07808,-116.875603,1992,7.6,1285
1952,Moss Creek Merced Drainage,37.67203,-119.818199,529,13.7,1007
1952,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.3,1192
1952,North Fork Tuolumne,37.98555,-120.204498,689,13.8,1168
1952,O'Neil Creek,41.80979,-123.118896,487,11.8,1005
1952,Oregon Creek,39.39704,-121.082001,448,14.9,1683
1952,Paradise Creek,36.51883,-118.7603,887,14.5,1069
1952,Rainbow Pool,37.81878,-120.007301,833,12.4,1141
1952,Redwood Creek,36.68952,-118.909599,1677,9.9,1220
1952,Rock Creek,43.37876,-122.952103,295,10.8,1287
1952,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.6,1390
1952,Sweetwater Creek,37.64232,-119.924797,370,14.6,842
1952,Sweetwater River,32.89913,-116.586502,1386,12.1,1063
1952,Wawona,37.53822,-119.651398,1208,11,1244
1952,West Fork Mojave River,34.28425,-117.375397,1087,13.4,920
1952,Whitewater Canyon,33.99329,-116.662697,696,17.3,498
1952,Willow Creek,39.45785,-121.061798,748,13.3,1748
1953,Bear Creek,36.20696,-118.726898,1119,13.3,467
1953,Buck Meadows,37.77722,-120.063301,830,13,588
1953,Canton Creek,43.4137,-122.780403,503,10.5,1904
1953,Carlon,37.81006,-119.856796,1320,10.3,654
1953,Cherokee Creek,39.55384,-120.987801,1289,11.5,1726
1953,Chino Creek,39.73262,-121.4039,776,13.6,1477
1953,Coast Fork of Williamette,43.6517,-123.087997,254,10.8,1642
1953,Corral Creek,35.8529,-118.447304,982,14.4,223
1953,Deep Creek,41.66546,-123.113403,694,12.2,283
1953,Deer Creek,42.27525,-123.639999,387,11.6,1980
1953,Fiddle Creek,39.5204,-120.998199,706,13,1502
1953,Hauser Creek,32.65822,-116.532303,788,13.9,134
1953,Kitchen Creek,32.75206,-116.452202,1173,12.4,204
1953,Little Jameson Creek,39.74298,-120.704002,1592,8.1,1151
1953,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.8,1388
1953,Mill Creek,34.07808,-116.875603,1992,7.6,280
1953,Moss Creek Merced Drainage,37.67203,-119.818199,529,13.9,495
1953,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.3,521
1953,North Fork Tuolumne,37.98555,-120.204498,689,13.8,585
1953,O'Neil Creek,41.80979,-123.118896,487,11.9,1157
1953,Oregon Creek,39.39704,-121.082001,448,14.9,1255
1953,Paradise Creek,36.51883,-118.7603,887,14.4,512
1953,Rainbow Pool,37.81878,-120.007301,833,12.6,587
1953,Redwood Creek,36.68952,-118.909599,1677,9.7,582
1953,Rock Creek,43.37876,-122.952103,295,10.9,1961
1953,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.6,612
1953,Sweetwater Creek,37.64232,-119.924797,370,14.7,417
1953,Sweetwater River,32.89913,-116.586502,1386,12.2,306
1953,Wawona,37.53822,-119.651398,1208,11.2,598
1953,West Fork Mojave River,34.28425,-117.375397,1087,13.3,275
1953,Whitewater Canyon,33.99329,-116.662697,696,17.3,81
1953,Willow Creek,39.45785,-121.061798,748,13.5,1322
1954,Bear Creek,36.20696,-118.726898,1119,13.4,627
1954,Buck Meadows,37.77722,-120.063301,830,13.4,890
1954,Canton Creek,43.4137,-122.780403,503,10,1307
1954,Carlon,37.81006,-119.856796,1320,10.8,981
1954,Cherokee Creek,39.55384,-120.987801,1289,11.6,2005
1954,Chino Creek,39.73262,-121.4039,776,13.2,1801
1954,Coast Fork of Williamette,43.6517,-123.087997,254,10.1,1211
1954,Corral Creek,35.8529,-118.447304,982,14.9,368
1954,Deep Creek,41.66546,-123.113403,694,12.2,214
1954,Deer Creek,42.27525,-123.639999,387,11.5,1629
1954,Fiddle Creek,39.5204,-120.998199,706,13.1,1744
1954,Hauser Creek,32.65822,-116.532303,788,14.4,427
1954,Kitchen Creek,32.75206,-116.452202,1173,13,658
1954,Little Jameson Creek,39.74298,-120.704002,1592,8.4,1438
1954,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.4,1612
1954,Mill Creek,34.07808,-116.875603,1992,8,1057
1954,Moss Creek Merced Drainage,37.67203,-119.818199,529,14.3,822
1954,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.5,714
1954,North Fork Tuolumne,37.98555,-120.204498,689,14.1,855
1954,O'Neil Creek,41.80979,-123.118896,487,11.9,962
1954,Oregon Creek,39.39704,-121.082001,448,15,1414
1954,Paradise Creek,36.51883,-118.7603,887,14.4,686
1954,Rainbow Pool,37.81878,-120.007301,833,13,892
1954,Redwood Creek,36.68952,-118.909599,1677,9.8,844
1954,Rock Creek,43.37876,-122.952103,295,10.3,1385
