"","Site","Site.Lat","Flowering_Dry","Flowering_Wet","Water_Content_Dry","Water_Content_Wet","SLA_Dry","SLA_Wet","Stomatal_Conductance_Dry","Stomatal_Conductance_Wet","Assimilation_Dry","Assimilation_Wet","MAT.clim","MAP.clim","CMD.clim","log.MAP.clim","C_Anomaly.CMD","C_Anomaly.MAT","C_Anomaly.MAP","MAT.clim.s","MAP.clim.s","CMD.clim.s","C_Anomaly.CMD.s","C_Anomaly.MAT.s","C_Anomaly.MAP.s"
"1","S02","32.9_S02",-0.0561103399380305,-0.198017652608995,0.0993328243131779,0.0433681596634008,0.0993328243131779,-0.0560039034549427,0.0993328243131779,0.0309750250791148,0.0993328243131779,-0.0560039034549427,14,625,945,6.4377516497364,-4321.58333333333,0.583333333333297,-13.3487933513611,0.944663125683183,-0.587278164398546,1.24487108573495,-0.160673575349805,-2.27659827039429,1.44523148641325
"2","S07","34.3_S07",-0.0238007841294326,-0.0508784373171553,0.0365598588159533,-0.040682363023166,0.0365598588159533,-0.00105199210388069,0.0365598588159533,-0.0083110884379081,0.0365598588159533,-0.00105199210388069,14.5,646,894,6.4707995037826,-5700.66666666667,2.8583333333334,-19.7468352331906,1.17047901230068,-0.537022689655614,0.970524271017708,-1.34701518680009,-0.341430669509009,-0.973262990876794
"3","S08","36.7_S08",-0.0109099717909302,0.0878150407040417,0.0411138088137949,-0.00124700737126668,0.0411138088137949,0.0412976944256459,0.0411138088137949,0.180926563861594,0.0411138088137949,0.0412976944256459,10.1,980,624,6.88755257166462,-2261.83333333333,1.31666666666667,-11.5485860511773,-0.81670078993327,0.0967286954632269,-0.481900042191241,1.6112042184877,-1.65280798146423,2.12571959416329
"4","S10","36.2_S10",-0.0432684865879125,-0.140594378816171,0.00475679685281375,0.138790607889238,0.00475679685281375,-0.114745842893147,0.00475679685281375,-0.0528201569280115,0.00475679685281375,-0.114745842893147,12.9,868,745,6.76619171466035,-4749.66666666667,3.4083333333333,-19.5129733800265,0.447868175124697,-0.0878233022378178,0.169001224098695,-0.528927660673397,0.126412047188423,-0.884861943998316
"5","S11","34.1_S11",-0.125301309768887,-0.183632014358582,-0.0430641410113763,0.129158519443305,-0.0430641410113763,-0.112035953887445,-0.0430641410113763,-0.198417614537054,-0.0430641410113763,-0.112035953887445,8.6,781,692,6.66057514983969,-4424.75,3.50833333333337,-19.1037669745225,-1.49414844978575,-0.248433143904384,-0.116104289234913,-0.249421591240521,0.211474359315309,-0.730179706829181
"6","S15","43.4_S15",-0.000169303361679791,0.0200959438681813,0.0403648345206654,0.0678912423473018,0.0403648345206654,-0.0616517533776001,0.0403648345206654,0.0584815409356729,0.0403648345206654,-0.0616517533776001,10.3,2563,289,7.84893372636407,-1811.08333333333,3.2416666666667,-17.5177971823507,-0.726374435286272,1.55868947121547,-2.28398206043197,1.99895706012977,-0.015358473022891,-0.130674537222571
"7","S16","41.8_S16",0.0654922205142851,-0.0709817640879807,0.149121027886354,0.0974625115238812,0.149121027886354,-0.0457316848594057,0.149121027886354,-0.149198792031794,0.149121027886354,-0.0457316848594057,11.2,968,622,6.87523208727658,-3971.66666666667,3.85,-17.9109872033544,-0.319905839374784,0.0779930828235002,-0.492658740807604,0.140338475316687,0.502103925748587,-0.279302494320464
"8","S17","41.7_S17",-0.000308776632340395,0.085924529627538,-0.0347765893761656,-0.056142241628959,-0.0347765893761656,0.021461340983177,-0.0347765893761656,0.0124583226842347,-0.0347765893761656,0.021461340983177,12.5,174,977,5.15905529921453,-5347.25,4.2416666666668,-15.7618407768536,0.267215465830701,-2.53177634747864,1.41701026359676,-1.0429922987609,0.835264648245416,0.53308649271343
"9","S18","39.7_S18",-0.118302957088231,-0.135653126570998,-0.0215935771156127,0.0868593565876242,-0.0215935771156127,-0.094913866928699,-0.0215935771156127,0.0620968000254208,-0.0215935771156127,-0.094913866928699,8.7,1367,574,7.22037383672395,-3645.66666666667,4.14999999999997,-18.6837593639834,-1.44898527246225,0.602845996051562,-0.750867507600306,0.420776470603021,0.757290862129025,-0.571414555667313
"10","S29","39.4_S29",-0.0410045225527667,-0.00502030346900478,0.0221570441222706,0.0390077533768179,0.0221570441222706,-0.0373484730439251,0.0221570441222706,-0.0379903110095852,0.0221570441222706,-0.0373484730439251,15.6,1422,776,7.25981961036319,-4931.08333333333,4.2166666666667,-18.7049243138676,1.66727396285916,0.662830710280539,0.335761052652315,-0.684989397825327,0.813999070213624,-0.579415021333625
"11","S32","37.5_S32",0.0431484478419984,0.03101750694566,-0.0138371650301361,-0.0410152677817515,-0.0138371650301361,0.048247340539043,-0.0138371650301361,-0.0460864538953494,-0.0138371650301361,0.048247340539043,12.4,1067,752,6.97260625130175,-4783.58333333333,4.2250000000001,-19.0625314018966,0.222052288507203,0.226068804591697,0.206656669255964,-0.558104108547001,0.821087596224248,-0.714592437082365
"12","S36","42.3_S36",-0.0150235675719602,0.0477421934108102,-0.0429514912498261,-0.0893986264034073,-0.0429514912498261,0.0819350359515764,-0.0429514912498261,0.0946868584799376,-0.0429514912498261,0.0819350359515764,12.1,1523,673,7.32843735289516,-3668.83333333333,3.5166666666666,-15.1624323761178,0.0865627565367059,0.767176887248995,-0.218311926090358,0.400847594659871,0.21856288532579,0.759666114040654
