"","Site","Site.Lat","Flowering_Dry","Flowering_Wet","Water_Content_Dry","Water_Content_Wet","SLA_Dry","SLA_Wet","Stomatal_Conductance_Dry","Stomatal_Conductance_Wet","Assimilation_Dry","Assimilation_Wet","Biomass_Dry","Biomass_Wet"
"1","S02","32.9_S02",-0.0313287394074575,-0.146600712026105,0.00640304049477517,0.00146454058479948,-10.5949529269734,-2.28151893503288,-0.0052594243194408,0.0085814329458025,-0.148698386498092,-0.510547074658437,0.0547385542624717,0.0412875853316497
"2","S07","34.3_S07",0.119309793541931,0.0436181868667168,-0.000537016432428926,-0.000652420045613815,7.89596432036771,-4.77289899720415,-0.00803496385835404,-0.0195801456174399,-0.594693433871487,0.496816742005523,0.0112246491183781,-0.0479276117110632
"3","S08","36.7_S08",-0.0304276857372341,0.228234820039017,0.00290005130559768,0.000189362005384185,-9.51204752289642,0.803062292672573,0.0204899638638987,0.0209606844603812,0.174320516145449,0.907697354418089,-0.0118091974593675,-0.00107376815997497
"4","S10","36.2_S10",0.0891955276127322,0.219070595496229,-0.00449800028524733,-0.00220293707461259,-1.80776323158384,5.30893105910358,-0.00988853002420225,0.00483584486684365,0.626303003244938,0.0429288544561421,0.00157226306041821,-0.0691460304667557
"5","S11","34.1_S11",-0.0802252643311568,-0.0814505945329606,0.00369694665548925,0.00440603868131557,-2.20067571996369,-6.4500399191728,-0.0723518122738978,-0.0253784321690499,-0.291343385608337,0.891772763115555,-0.0214585645159444,-0.0271596969785796
"6","S15","43.4_S15",0.20123160294863,0.0496343067005669,0.00205690590240028,0.00466068518437902,8.24452700235404,-9.02440041155422,0.0129117790905304,0.0241370658037092,0.657316453245581,0.739576092859819,-0.0974822570622551,-0.141157214076661
"7","S16","41.8_S16",0.148227133493896,-0.143036442050243,0.0207218203399318,0.0155450704272653,-32.0650297420743,-4.36159520437009,-0.0713082451827863,-0.0485218154618917,-1.09631648682753,-1.04569403399313,0.153781106197814,-0.0798295606452467
"8","S17","41.7_S17",0.114245281691295,0.185770402223204,0.00345967078038126,-0.00914950935635318,0.350695987798102,13.7658723266536,-0.0166024957530341,-0.0592060703299872,0.238848615133725,-0.415342726958264,0.151491432845794,0.10491054291558
"9","S18","39.7_S18",0.0312491478280025,0.134054472447882,-0.00941040726795235,-5.83669587086576e-05,13.2952830184225,-4.06931494885593,0.0183825214494143,0.0218805555472494,0.143085094268518,0.676353554892658,0.0728753902219437,0.18315045110374
"10","S29","39.4_S29",-0.0584092617254135,-0.014849477662753,-0.000182140545747727,0.000427423611479505,-6.98072823397549,-8.3597789866676,-0.011472722431937,-0.024725495385195,0.112759909519302,-0.0739272367856822,0.0320942492008457,-0.200779798255512
"11","S32","37.5_S32",0.0841707849048219,0.0817499606820379,-0.00475402526590893,-0.00661703491982583,4.49304887246994,8.98937080748022,0.0163885688961141,-0.0164027194131156,0.159077677317991,-0.574359456036914,-0.0938490685039002,-0.000926506062676875
"12","S36","42.3_S36",-0.0210939781232228,0.179783043831516,-0.00285289372327956,-0.0103833631582133,-3.91403717612335,10.1633671722828,-0.0168940537581188,0.0199191595242318,0.102017113964125,0.604041244674334,-0.0389708099764993,-0.156405659387644
