"","X","Site","Site.Lat","Flowering_Dry","Flowering_Wet","SLA_Wet","SLA_Dry","Stomatal_Conductance_Dry","Stomatal_Conductance_Wet","Region","Assimilation_Dry","Assimilation_Wet","Biomass_Dry","Biomass_Wet"
"1",1,"S02","32.9_S02",0.371616185918032,-0.847590824641016,2.74391483522556,-3.55408127127749,0.00778763389439335,0.0216636692155356,"1",0.131941700997152,-0.741679609965053,-0.00286005263793013,0.0114915624403822
"2",2,"S07","34.3_S07",-0.282511211368729,-0.0529708519941162,1.63022001198597,2.61608546346997,-0.00809810844806588,-0.0160132211994237,"2",-0.140245854926863,0.248649051779899,-0.0146000146472773,-0.0479660459945451
"3",3,"S08","36.7_S08",0.143799970263511,2.70833333340089,2.96397241508576,-10.6304900271157,0.0212575075888543,0.0189454732810314,"5",0.138054009121835,1.08463007417838,-0.0146899198684812,-0.0249954754453476
"4",4,"S10","36.2_S10",0.706714440740726,1.15999317173355,2.36841569600446,6.4198617101374,-0.0110384387125684,0.0166890664776404,"3",0.283684089547029,-0.251062620322368,0.0261639525262581,0.0462226036371782
"5",5,"S11","34.1_S11",-0.758031393226548,-0.561393889380604,-7.06282780552704,-4.72902026483841,-0.086547039085621,-0.000606342089884441,"4",-0.687440541684001,1.11199295032362,-0.00721224399893638,-0.0498258801035472
"6",6,"S15","43.4_S15",0.621923294118434,0.559184109199875,-10.9010608361468,2.27924639929766,0.0161505193257516,0.0279783642881815,"12",0.104260799479023,0.352791494972071,0.0604800764756455,-0.0167176681350134
"7",7,"S16","41.8_S16",0.315130508321693,-0.817089670630487,-4.93258389226846,-18.9375233642929,-0.035872026369371,-0.041838435737612,"10",-0.856359329102879,-0.919052107886966,0.138011945987545,0.0200023229462111
"8",8,"S17","41.7_S17",0.327347968713705,0.893542675071104,3.63851132286361,0.660614349672794,0.00511075302129875,0.0151729184934972,"9",-0.186736160578183,0.241049347692319,0.0248237450300788,0.0438873931284089
"9",9,"S18","39.7_S18",-0.202216066157039,0.191917950078908,-4.32803989359326,8.35805067712507,0.00366299432433252,0.014588177976164,"8",0.185764874494495,0.546727899689476,0.0322295493473349,0.106938690561875
"10",10,"S29","39.4_S29",-0.359538322985038,-0.0439583879612339,-2.87616911173482,-3.05932407080009,-0.000317863873607771,-0.00781614487292714,"7",0.0879645604405137,-0.144472092547986,0.0429076372982485,-0.0853625980255273
"11",11,"S32","37.5_S32",0.672613234647561,0.469607590780362,7.8444973604831,4.93862697357785,0.00803579351115476,0.0110038572346681,"6",0.134157496584526,-0.111809954584574,-0.112454436181725,-0.0160295089133379
"12",12,"S36","42.3_S36",-0.551313300796311,1.05866941090202,10.3788759465695,-4.49446113115799,0.000454717002148991,0.0274447542585852,"11",-0.00968664167060053,0.578577969435425,-0.0053173548878734,-0.0994255467353843
