"","ID_Year","Region","Year","Latitude","Longitude","Drought","Experiment_Date","Water_Content","SLA","Stomatal_Conductance","Assimilation","Biomass"
"1","S02_2011","South_Centre",2011,32.89928,-116.5849,"D",95.695652173913,0.20392221534191,243.812794294555,0.449159071769231,12.277630631359,1.56642857142857
"2","S02_2012","South_Centre",2012,32.89928,-116.5849,"D",95.8181818181818,0.191537766702,248.984933592364,0.377663090555556,10.8422408066944,1.88458333333333
"3","S02_2013","South_Centre",2013,32.89928,-116.5849,"D",95.875,0.18722512399943,256.627197845252,0.427038251878788,12.8081145590909,1.65458333333333
"4","S02_2014","South_Centre",2014,32.89928,-116.5849,"D",97.4054054054054,0.207028637254246,232.636281874972,0.453856142263158,12.3570495651754,1.57375
"5","S07_2011","South_Centre",2011,34.28425,-117.375389,"D",94.4166666666667,0.193583105891486,252.945598892497,0.457330119111111,11.6316126358055,1.69666666666667
"6","S07_2014","South_Centre",2014,34.28425,-117.375389,"D",94.5555555555556,0.20142009710445,221.054128757995,0.512791543407408,11.8873797800741,1.609
"7","S08_2011","South_Centre",2011,36.69096,-118.909607,"D",97.625,0.250136357106945,234.680138571809,0.517336615333334,11.5150515678333,1.79
"8","S08_2012","South_Centre",2012,36.69096,-118.909607,"D",95.225,0.254394462512831,214.73592910411,0.358216632444444,11.3173162808148,1.8865
"9","S08_2013","South_Centre",2013,36.69096,-118.909607,"D",95.1666666666667,0.258411788919914,218.701302583321,0.311345405111111,10.6998183459259,1.7745
"10","S10_2011","South_Centre",2011,36.20081,-118.650917,"D",93.125,0.248137533875339,217.206345526632,0.447679415270834,11.306296356125,1.4975
"11","S10_2012","South_Centre",2012,36.20081,-118.650917,"D",97.8181818181818,0.245264045417498,203.572178001436,0.385794944266667,9.6609010506,1.5025
"12","S10_2013","South_Centre",2013,36.20081,-118.650917,"D",95,0.19714495949201,297.422378585884,0.409098590033333,11.6924420089,1.5805
"13","S10_2014","South_Centre",2014,36.20081,-118.650917,"D",96.9333333333333,0.239353376925244,228.463823688374,0.381889630615385,11.4476629680769,1.5015625
"14","S15_2010","North",2010,43.37876,-122.952072,"D",96.6333333333333,0.203064041975871,254.535895700363,0.443290178851852,12.611849121,1.46
"15","S15_2012","North",2012,43.37876,-122.952072,"D",94.1428571428571,0.150630117986903,256.717555890625,0.469027163083333,14.9374570833333,1.28125
"16","S15_2014","North",2014,43.37876,-122.952072,"D",94.4,0.194181120731121,250.90845635641,0.502852135962963,13.0718467098889,1.2815
"17","S15_2015","North",2015,43.37876,-122.952072,"D",93.9117647058823,0.205895269641541,228.492497454391,0.422616536666667,12.7590577904902,1.47527777777778
"18","S16_2010","North",2010,41.80979,-123.118874,"D",97.8666666666667,0.205870550654373,257.098576717179,0.403282151769231,11.4329388458462,1.2959375
"19","S16_2012","North",2012,41.80979,-123.118874,"D",94.4,0.194021274839262,256.155234667869,0.362775449166667,10.5056001907778,1.4725
"20","S16_2013","North",2013,41.80979,-123.118874,"D",93.0625,0.168947610194289,284.576265624608,0.483976112190476,14.1184624122857,1.2875
"21","S16_2014","North",2014,41.80979,-123.118874,"D",99,0.191438711895014,287.929975720599,0.526826459708333,13.8388463738333,1.33421052631579
"22","S16_2015","North",2015,41.80979,-123.118874,"D",95.962962962963,0.205304048750579,235.71286955056,0.392760910923077,11.3276597864872,1.42464285714286
"23","S16_2016","North",2016,41.80979,-123.118874,"D",94.5263157894737,0.210230862054327,241.946858137375,0.407555759029412,12.4214412038006,1.59825
"24","S17_2011","North",2011,41.66546,-123.113411,"D",101.1875,0.224423135239992,198.959419377444,0.436529523,12.296405043625,1.52125
"25","S17_2014","North",2014,41.66546,-123.113411,"D",98.5,0.203585858585859,238.345821225087,0.497416080333333,14.6437586833333,1.295
"26","S17_2015","North",2015,41.66546,-123.113411,"D",100.55,0.203016763185833,231.212966193619,0.438235569185185,12.1001815062963,1.7605
"27","S18_2010","South_Centre",2010,39.74298,-120.70401,"D",99.2222222222222,0.233369744515959,228.599516735276,0.418443478688889,12.1461060437556,1.4290625
"28","S18_2012","South_Centre",2012,39.74298,-120.70401,"D",99.6896551724138,0.233769376842785,229.3569744449,0.4285062998125,13.3492980397708,1.8090625
"29","S18_2013","South_Centre",2013,39.74298,-120.70401,"D",101.636363636364,0.230771098651401,232.93098405511,0.382396466333333,11.8007150048039,1.49775
"30","S18_2014","South_Centre",2014,39.74298,-120.70401,"D",100.375,0.225441821003378,228.530436250919,0.448468200433333,12.4510074813667,1.46
"31","S29_2010","South_Centre",2010,39.39442,-121.083023,"D",97.4761904761905,0.189438846842116,278.551612105409,0.491186567311111,13.7170371128667,1.2441935483871
"32","S29_2013","South_Centre",2013,39.39442,-121.083023,"D",102,0.203811721611721,267.766230429246,0.587828347333334,15.78589395,1.06875
"33","S29_2014","South_Centre",2014,39.39442,-121.083023,"D",97.88,0.235443488497959,198.935071642443,0.308872715060606,10.5840867029697,1.81034482758621
"34","S29_2015","South_Centre",2015,39.39442,-121.083023,"D",99.5,0.253621916472511,181.843700074493,0.317458449916667,9.27604985325,1.88
"35","S32_2010","South_Centre",2010,37.539,-119.653999,"D",92.2083333333333,0.239489904104136,211.306464595643,0.310703449666667,10.349598095641,1.74185185185185
"36","S32_2012","South_Centre",2012,37.539,-119.653999,"D",94.525,0.248380388518067,220.648653584687,0.363821331438596,11.7075561631754,1.63325
"37","S32_2014","South_Centre",2014,37.539,-119.653999,"D",94.75,0.2593160562912,223.62591115908,0.380310553805556,11.6139048848611,1.905
