Site_Family,Family,Site,Year
S02_1,1,S02,2010
S02_2,2,S02,2010
S02_3,3,S02,2010
S02_4,4,S02,2010
S02_5,5,S02,2010
S02_6,6,S02,2010
S02_7,7,S02,2010
S02_8,8,S02,2010
S02_9,9,S02,2011
S02_10,10,S02,2011
S02_11,11,S02,2011
S02_12,12,S02,2011
S02_13,13,S02,2011
S02_14,14,S02,2011
S02_15,15,S02,2011
S02_16,16,S02,2012
S02_17,17,S02,2012
S02_18,18,S02,2012
S02_19,19,S02,2012
S02_20,20,S02,2012
S02_21,21,S02,2012
S02_22,22,S02,2013
S02_23,23,S02,2013
S02_24,24,S02,2013
S02_25,25,S02,2013
S02_26,26,S02,2013
S02_27,27,S02,2013
S02_28,28,S02,2014
S02_29,29,S02,2014
S02_30,30,S02,2014
S02_31,31,S02,2014
S02_32,32,S02,2014
S02_33,33,S02,2014
S02_34,34,S02,2014
S02_35,35,S02,2014
S02_36,36,S02,2014
S02_37,37,S02,2014
S07_38,38,S07,2010
S07_39,39,S07,2010
S07_40,40,S07,2010
S07_41,41,S07,2010
S07_42,42,S07,2011
S07_43,43,S07,2011
S07_44,44,S07,2011
S07_45,45,S07,2011
S07_46,46,S07,2011
S07_47,47,S07,2011
S07_48,48,S07,2014
S07_49,49,S07,2014
S07_50,50,S07,2014
S07_51,51,S07,2014
S07_52,52,S07,2014
S07_53,53,S07,2014
S07_54,54,S07,2014
S07_55,55,S07,2014
S07_56,56,S07,2014
S07_57,57,S07,2014
S07_58,58,S07,2015
S07_59,59,S07,2015
S07_60,60,S07,2015
S07_61,61,S07,2015
S07_62,62,S07,2015
S07_63,63,S07,2015
S07_64,64,S07,2015
S07_65,65,S07,2016
S07_66,66,S07,2016
S07_67,67,S07,2016
S08_68,68,S08,2011
S08_69,69,S08,2011
S08_70,70,S08,2012
S08_71,71,S08,2012
S08_72,72,S08,2012
S08_73,73,S08,2012
S08_74,74,S08,2012
S08_75,75,S08,2012
S08_76,76,S08,2012
S08_77,77,S08,2012
S08_78,78,S08,2012
S08_79,79,S08,2012
S08_80,80,S08,2013
S08_81,81,S08,2013
S08_82,82,S08,2013
S08_83,83,S08,2013
S08_84,84,S08,2013
S08_85,85,S08,2014
S10_86,86,S10,2010
S10_87,87,S10,2010
S10_88,88,S10,2011
S10_89,89,S10,2011
S10_90,90,S10,2012
S10_91,91,S10,2012
S10_92,92,S10,2012
S10_93,93,S10,2013
S10_94,94,S10,2013
S10_95,95,S10,2013
S10_96,96,S10,2013
S10_97,97,S10,2013
S10_98,98,S10,2014
S10_99,99,S10,2014
S10_100,100,S10,2014
S10_101,101,S10,2014
S10_102,102,S10,2014
S10_103,103,S10,2014
S10_104,104,S10,2014
S10_105,105,S10,2014
S10_106,106,S10,2015
S10_107,107,S10,2015
S10_108,108,S10,2015
S10_109,109,S10,2015
S10_110,110,S10,2015
S10_111,111,S10,2015
S10_112,112,S10,2015
S10_113,113,S10,2015
S10_114,114,S10,2015
S10_115,115,S10,2016
S10_116,116,S10,2016
S10_117,117,S10,2016
S10_118,118,S10,2016
S11_119,119,S11,2010
S11_120,120,S11,2010
S11_121,121,S11,2010
S11_122,122,S11,2010
S11_123,123,S11,2010
S11_124,124,S11,2010
S11_125,125,S11,2010
S11_126,126,S11,2011
S11_127,127,S11,2011
S11_128,128,S11,2011
S11_129,129,S11,2011
S11_130,130,S11,2011
S11_131,131,S11,2011
S11_132,132,S11,2011
S11_133,133,S11,2013
S11_134,134,S11,2013
S11_135,135,S11,2013
S11_136,136,S11,2013
S11_137,137,S11,2013
S11_138,138,S11,2013
S11_139,139,S11,2015
S11_140,140,S11,2015
S11_141,141,S11,2015
S11_142,142,S11,2015
S11_143,143,S11,2015
S11_144,144,S11,2016
S11_145,145,S11,2016
S11_146,146,S11,2016
S11_147,147,S11,2016
S15_148,148,S15,2010
S15_149,149,S15,2010
S15_150,150,S15,2010
S15_151,151,S15,2010
S15_152,152,S15,2010
S15_153,153,S15,2010
S15_154,154,S15,2010
S15_155,155,S15,2010
S15_156,156,S15,2010
S15_157,157,S15,2012
S15_158,158,S15,2012
S15_159,159,S15,2014
S15_160,160,S15,2014
S15_161,161,S15,2014
S15_162,162,S15,2014
S15_163,163,S15,2014
S15_164,164,S15,2015
S15_165,165,S15,2015
S15_166,166,S15,2015
S15_167,167,S15,2015
S15_168,168,S15,2015
S15_169,169,S15,2015
S15_170,170,S15,2015
S15_171,171,S15,2015
S15_172,172,S15,2015
S15_173,173,S15,2016
S15_174,174,S15,2016
S15_175,175,S15,2016
S15_176,176,S15,2016
S15_177,177,S15,2016
S15_178,178,S15,2016
S15_179,179,S15,2016
S15_180,180,S15,2016
S15_181,181,S15,2016
S15_182,182,S15,2016
S16_183,183,S16,2010
S16_184,184,S16,2010
S16_185,185,S16,2010
S16_186,186,S16,2010
S16_187,187,S16,2010
S16_188,188,S16,2010
S16_189,189,S16,2010
S16_190,190,S16,2010
S16_191,191,S16,2012
S16_192,192,S16,2012
S16_193,193,S16,2012
S16_194,194,S16,2012
S16_195,195,S16,2013
S16_196,196,S16,2013
S16_197,197,S16,2013
S16_198,198,S16,2013
S16_199,199,S16,2014
S16_200,200,S16,2014
S16_201,201,S16,2014
S16_202,202,S16,2014
S16_203,203,S16,2014
S16_204,204,S16,2015
S16_205,205,S16,2015
S16_206,206,S16,2015
S16_207,207,S16,2015
S16_208,208,S16,2015
S16_209,209,S16,2015
S16_210,210,S16,2015
S16_211,211,S16,2016
S16_212,212,S16,2016
S16_213,213,S16,2016
S16_214,214,S16,2016
S16_215,215,S16,2016
S16_216,216,S16,2016
S16_217,217,S16,2016
S16_218,218,S16,2016
S16_219,219,S16,2016
S16_220,220,S16,2016
S17_221,221,S17,2011
S17_222,222,S17,2011
S17_223,223,S17,2011
S17_224,224,S17,2011
S17_225,225,S17,2014
S17_226,226,S17,2015
S17_227,227,S17,2015
S17_228,228,S17,2015
S17_229,229,S17,2015
S17_230,230,S17,2015
S17_231,231,S17,2016
S17_232,232,S17,2016
S17_233,233,S17,2016
S17_234,234,S17,2016
S17_235,235,S17,2016
S17_236,236,S17,2016
S17_237,237,S17,2016
S17_238,238,S17,2016
S17_239,239,S17,2016
S18_240,240,S18,2010
S18_241,241,S18,2010
S18_242,242,S18,2010
S18_243,243,S18,2010
S18_244,244,S18,2010
S18_245,245,S18,2010
S18_246,246,S18,2010
S18_247,247,S18,2010
S18_248,248,S18,2012
S18_249,249,S18,2012
S18_250,250,S18,2012
S18_251,251,S18,2012
S18_252,252,S18,2012
S18_253,253,S18,2012
S18_254,254,S18,2012
S18_255,255,S18,2012
S18_256,256,S18,2013
S18_257,257,S18,2013
S18_258,258,S18,2013
S18_259,259,S18,2013
S18_260,260,S18,2013
S18_261,261,S18,2013
S18_262,262,S18,2013
S18_263,263,S18,2013
S18_264,264,S18,2013
S18_265,265,S18,2013
S18_266,266,S18,2014
S18_267,267,S18,2014
S18_268,268,S18,2014
S18_269,269,S18,2014
S18_270,270,S18,2014
S18_271,271,S18,2014
S18_272,272,S18,2014
S18_273,273,S18,2014
S18_274,274,S18,2016
S18_275,275,S18,2016
S18_276,276,S18,2016
S18_277,277,S18,2016
S18_278,278,S18,2016
S18_279,279,S18,2016
S18_280,280,S18,2016
S18_281,281,S18,2016
S18_282,282,S18,2016
S29_283,283,S29,2010
S29_284,284,S29,2010
S29_285,285,S29,2010
S29_286,286,S29,2010
S29_287,287,S29,2010
S29_288,288,S29,2010
S29_289,289,S29,2010
S29_290,290,S29,2010
S29_291,291,S29,2013
S29_292,292,S29,2013
S29_293,293,S29,2014
S29_294,294,S29,2014
S29_295,295,S29,2014
S29_296,296,S29,2014
S29_297,297,S29,2014
S29_298,298,S29,2014
S29_299,299,S29,2014
S29_300,300,S29,2014
S29_301,301,S29,2015
S29_302,302,S29,2015
S29_303,303,S29,2015
S29_304,304,S29,2016
S32_305,305,S32,2010
S32_306,306,S32,2010
S32_307,307,S32,2010
S32_308,308,S32,2010
S32_309,309,S32,2010
S32_310,310,S32,2010
S32_311,311,S32,2010
S32_312,312,S32,2012
S32_313,313,S32,2012
S32_314,314,S32,2012
S32_315,315,S32,2012
S32_316,316,S32,2012
S32_317,317,S32,2012
S32_318,318,S32,2012
S32_319,319,S32,2012
S32_320,320,S32,2012
S32_321,321,S32,2012
S32_322,322,S32,2014
S32_323,323,S32,2014
S32_324,324,S32,2014
S32_325,325,S32,2014
S32_326,326,S32,2014
S32_327,327,S32,2014
S32_328,328,S32,2015
S32_329,329,S32,2015
S32_330,330,S32,2015
S32_331,331,S32,2015
S32_332,332,S32,2015
S32_333,333,S32,2015
S32_334,334,S32,2016
S32_335,335,S32,2016
S32_336,336,S32,2016
S32_337,337,S32,2016
S32_338,338,S32,2016
S32_339,339,S32,2016
S36_340,340,S36,2011
S36_341,341,S36,2011
S36_342,342,S36,2011
S36_343,343,S36,2011
S36_344,344,S36,2011
S36_345,345,S36,2011
S36_346,346,S36,2011
S36_347,347,S36,2011
S36_348,348,S36,2011
S36_349,349,S36,2011
S36_350,350,S36,2012
S36_351,351,S36,2012
S36_352,352,S36,2012
S36_353,353,S36,2012
S36_354,354,S36,2012
S36_355,355,S36,2012
S36_356,356,S36,2012
S36_357,357,S36,2012
S36_358,358,S36,2012
S36_359,359,S36,2012
S36_360,360,S36,2014
S36_361,361,S36,2014
S36_362,362,S36,2014
S36_363,363,S36,2014
S36_364,364,S36,2014
S36_365,365,S36,2014
S36_366,366,S36,2014
S36_367,367,S36,2014
S36_368,368,S36,2015
