"","ID_Year","Site","Year","Drought","PC1","PC2","PC3","PC4","PC5","PC6"
"1","S02_2010","S02",2010,"D",-0.980379835289031,0.792818602182076,-0.018855207841347,-0.509044568450857,0.18015049371883,-0.0766273641944089
"2","S02_2011","S02",2011,"D",-0.224394752861941,0.154572060203383,-0.124079596308182,-0.697363128222147,-0.0438130977930311,0.00107913758885483
"3","S02_2012","S02",2012,"D",0.092512706874908,0.577441635694363,-0.0917508648069834,-0.173591949093669,0.0458191305958335,0.198024893489676
"4","S02_2013","S02",2013,"D",-0.395783144866281,0.310431876818667,-0.216763407429585,-0.405486952878378,0.122937625052932,0.038982738367609
"5","S02_2014","S02",2014,"D",-0.226056127980654,0.0719598486225118,0.0862211461178694,-0.820759425903724,0.0712011982988935,0.0462603712465903
"6","S07_2010","S07",2010,"D",-0.396259568187427,0.800117396489866,0.029645946803621,-0.233592416814781,0.161089939663719,0.0869361163972555
"7","S07_2011","S07",2011,"D",-0.164610723016829,0.299898407242393,-0.273950831205547,-0.388265711815205,-0.170000040330858,0.134825696150162
"8","S07_2014","S07",2014,"D",-0.116696701293489,-0.150441089792207,-0.169309479793515,-0.802971540935925,-0.22210084626688,0.35622623308675
"9","S07_2015","S07",2015,"D",0.256713534269593,0.253204796369798,-0.0630871121564288,-0.680172520042985,-0.0104305726496328,0.306861072725328
"10","S07_2016","S07",2016,"D",-0.49567655105136,0.129984712363075,0.0771867429833788,-0.670877901011719,-0.0265033061379645,0.378382146593111
"11","S08_2011","S08",2011,"D",0.30967052728705,-0.0576455535066658,0.494605047385498,-0.880465162495792,-0.550471150466999,-0.264505558476008
"12","S08_2012","S08",2012,"D",0.892839654217333,0.133706083074552,0.271700524010958,-0.869083152630004,-0.0740863038791168,-0.331871463874288
"13","S08_2013","S08",2013,"D",0.952996127291829,0.319150314429969,0.25042573811362,-0.936783860465693,-0.130166361958216,-0.39189601624367
"14","S08_2014","S08",2014,"D",0.314876991041584,0.208137555022735,-0.295794410544338,-0.740676846103382,-0.524447061865274,-0.0651822857105429
"15","S10_2010","S10",2010,"D",0.226164924331796,1.53588117408538,-0.0560103785400789,0.161450358683263,-0.818169242023418,-0.53594566204412
"16","S10_2011","S10",2011,"D",0.639365701503915,0.106418304958393,-0.0771630617084239,-1.15744769033611,-0.377852862370823,-0.194864596654337
"17","S10_2012","S10",2012,"D",0.658205306402827,0.357445051782672,0.425638931823229,-1.21538512438958,-0.239712650235842,0.0719015372795486
"18","S10_2013","S10",2013,"D",-0.425626274335646,0.714624607399923,-0.318313204478384,-0.197947966638489,-0.255020928595898,-0.363211429904542
"19","S10_2014","S10",2014,"D",0.251738337466988,0.196272162408317,0.217619980514669,-1.08558799822557,-0.0890480200422887,-0.287215332235404
"20","S10_2015","S10",2015,"D",0.173694273500109,0.503018180026038,-0.0576878501181726,-0.674442886881744,-0.317658638146901,-0.447374430492295
"21","S10_2016","S10",2016,"D",0.67529620348844,0.630428367780767,-0.410547316115742,-0.576261222897333,-0.392009530274192,-0.180251158279005
"22","S11_2010","S11",2010,"D",-0.600166151024982,-0.128455183906955,-1.026913353499,-0.482911857038815,0.412338645775953,0.27547264177324
