Site,ID,ID2,Site_Lat,Lat,Long,Elevation,Lat_spei,Long_spei,Year,SPEI
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2009,-1.304386019706726
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2009,-1.304386019706726
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2009,-1.3146127462387085
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2009,-0.9269194602966309
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,2010,0.8979031443595886
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,2010,0.8645411133766174
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,2010,0.9538037180900574
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,2010,1.1124171018600464
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,2010,0.9934512972831726
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,2010,1.4792759418487549
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,2010,0.5917884111404419
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,2010,0.330176442861557
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2010,-0.013595717027783394
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2010,-0.013595717027783394
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2010,0.08276030421257019
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2010,0.7153350114822388
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,2011,0.510002851486206
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,2011,0.6399672627449036
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,2011,0.7160303592681885
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,2011,1.1817374229431152
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,2011,1.252457618713379
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,2011,1.6494897603988647
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,2011,0.8521463871002197
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,2011,1.1309683322906494
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2011,0.6380839347839355
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2011,0.6380839347839355
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2011,0.7428622245788574
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2011,1.1112593412399292
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,2012,-0.5706225633621216
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,2012,-0.35368216037750244
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,2012,-0.55778968334198
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,2012,-0.32244405150413513
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,2012,-0.5181291103363037
