Family,Collected,Tissue Level
251,1,l
252,1,m
253,1,h
254,1,l
255,1,l
256,1,l
257,1,m
258,1,l
259,1,l
260,1,l
261,1,l
262,1,l
263,1,l
264,1,l
265,1,l
266,1,l
267,1,l
268,0,
269,1,h
270,0,
271,1,h
272,1,h
273,1,l
274,1,l
275,1,l
276,1,l
277,1,h
278,1,h
279,1,l
280,1,h
281,1,m
282,1,l
283,1,l
284,1,m
285,1,l
286,1,m
287,1,l
288,1,l
289,1,l
290,1,l
291,1,l
292,1,l
293,1,l
294,1,h
295,1,m
296,1,h
297,1,h
298,1,m
299,1,m
300,1,h
301,0,
302,1,m
303,1,m
304,0,
305,1,m
306,1,h
307,1,m
308,1,h
309,1,h
310,1,m
311,1,m
312,1,m
313,1,h
314,1,m
315,1,m
316,1,h
317,1,m
318,1,h
319,1,m
320,1,l
321,1,l
322,1,m
323,1,m
324,1,m
325,1,m
326,1,h
327,1,h
328,1,m
329,1,m
330,1,m
331,1,m
332,1,m
333,1,m
334,1,h
335,1,h
336,1,h
337,1,h
338,1,m
339,1,l
340,1,m
341,1,m
342,0,
343,1,m
344,1,h
345,1,h
346,1,h
347,1,h
348,0,
349,1,h
350,1,h
351,1,h
352,1,h
353,1,h
354,1,h
355,1,h
356,1,h
357,1,m
358,1,h
359,1,h
360,1,h
361,1,h
362,1,m
363,1,h
364,1,h
365,1,h
366,1,h
367,1,h
368,2,m
369,1,h
370,1,h
371,1,m
372,1,m
373,1,m
374,2,m
375,1,m
376,1,h
377,2,h
378,1,h
379,1,h
380,1,h
381,1,h
382,1,h
383,2,h
384,0,
385,1,h
386,1,h
387,1,h
388,2,h
389,1,h
390,0,
391,1,h
392,1,h
393,1,h
394,1,h
395,1,h
396,1,h
397,1,h
398,1,h
399,1,h
400,1,h
401,1,h
402,1,h
403,1,h
404,1,h
405,1,h
406,1,h
407,1,h
408,1,h
409,1,h
410,1,h
411,1,h
412,0,
413,1,h
414,1,h
415,1,h
416,1,h
417,1,l
418,1,h
419,1,h
420,1,h
421,1,h
422,1,h
423,1,h
424,0,
425,0,
426,0,
427,0,
428,1,h
429,1,h
430,1,h
431,1,h
432,1,h
433,1,h
434,1,h
435,0,
436,1,h
437,0,
438,1,h
439,0,
440,0,
441,0,
442,0,
443,0,
444,1,h
445,0,
446,1,l
447,0,
448,0,
449,0,
450,0,
451,0,
452,0,
453,1,h
454,0,
455,0,
456,0,
457,0,
458,0,
459,1,h
460,1,h
461,1,h
462,1,h
463,1,h
464,1,h
465,0,
466,1,h
467,1,h
468,1,h
469,1,h
470,1,h
471,1,h
472,1,h
473,1,h
474,1,h
475,1,h
476,1,h
477,1,h
478,1,h
479,1,h
480,1,h
481,1,h
482,1,h
483,1,h
484,1,h
485,1,h
486,1,h
487,1,h
488,1,h
489,1,h
490,1,h
491,1,h
492,0,
493,1,m
494,0,
495,0,
496,0,
497,0,
498,0,
499,0,
500,1,h
501,1,m
502,1,h
503,1,m
504,1,m
505,1,m
506,1,m
507,1,h
508,1,h
509,2,h
510,1,m
511,1,m
512,2,h
513,1,h
514,1,m
515,1,h
516,1,m
517,1,m
518,0,
519,1,m
520,1,h
521,1,m
522,1,m
523,1,m
524,1,m
525,1,m
526,0,
527,1,m
528,1,h
529,1,h
530,1,h
531,1,m
532,1,h
533,1,m
534,1,m
535,1,m
536,1,l
537,1,m
538,1,h
539,1,h
540,1,m
541,1,m
542,1,h
543,1,m
544,2,m
545,1,m
546,1,m
547,1,h
548,1,m
549,1,h
550,1,m
551,1,h
552,1,h
553,1,h
554,1,h
555,1,m
556,1,l
557,1,m
558,1,m
559,1,m
560,1,h
561,1,m
562,1,m
563,1,m
564,1,m
565,0,
566,0,
575,1,m
576,0,
577,1,h
578,0,
579,0,
580,0,
581,1,m
582,1,h
583,1,h
584,0,
585,0,
586,0,
587,0,
589,0,
597,1,h
598,1,h
599,1,m
600,1,h
601,0,
602,1,v
603,1,m
604,1,m
605,1,m
606,1,l
607,1,l
608,1,m
609,1,m
610,1,m
611,1,m
612,1,h
613,1,l
614,1,h
615,1,h
616,1,h
617,1,h
618,1,m
619,1,h
620,0,
621,1,m
622,1,m
623,1,h
624,1,h
625,0,
626,1,m
627,1,h
628,1,h
629,1,h
630,1,m
631,1,m
632,1,h
633,1,h
634,1,h
635,0,
636,1,m
637,1,m
638,1,m
639,1,m
640,1,m
641,1,h
642,1,m
643,1,m
644,1,h
645,1,m
646,1,h
647,1,m
648,1,h
649,1,h
650,1,h
651,1,m
652,0,
653,1,m
654,1,m
655,1,h
656,1,m
657,1,h
658,1,m
659,0,
662,0,
663,1,h
664,0,
665,1,m
666,0,
667,1,m
668,0,
669,0,
672,1,m
677,0,
679,0,
684,1,h
685,1,l
686,1,m
687,1,m
688,1,m
689,1,m
691,0,
693,1,h
700,1,m
701,1,m
702,1,h
703,1,h
704,1,l
705,1,m
706,1,l
707,1,h
708,1,m
709,1,m
710,1,m
711,1,h
712,1,h
713,1,m
714,1,m
715,1,l
716,1,m
717,1,m
718,1,m
719,1,m
720,1,m
721,1,m
722,1,h
723,1,m
724,1,m
725,1,m
726,1,m
727,1,h
728,0,
729,1,h
730,0,
731,0,
732,0,
733,0,
734,0,
735,0,
736,0,
737,1,h
738,0,
739,0,
740,0,
741,0,
742,1,h
743,1,h
745,0,
749,0,
754,1,h
755,1,h
756,1,h
757,1,h
758,1,h
759,0,
760,1,h
761,1,l
762,1,h
763,1,m
764,0,
765,0,
766,0,
767,0,
768,0,
769,1,m
770,1,m
771,1,h
772,0,l
773,1,h
774,1,m
775,1,m
776,1,m
777,1,h
778,1,h
779,1,l
780,1,m
781,1,h
782,1,m
783,1,h
784,1,m
785,1,m
786,1,h
787,1,h
788,1,m
789,1,h
790,1,l
791,1,h
792,0,
793,1,v
794,1,l
795,0,
799,1,l
800,0,
805,0,
806,1,m
807,1,h
808,1,h
809,1,l
810,1,h
811,1,l
812,1,l
813,1,m
814,1,m
815,1,m
816,0,
817,1,m
818,1,m
819,1,m
820,0,
821,1,m
822,1,h
823,1,h
824,1,m
825,1,m
826,1,h
827,1,h
828,1,h
829,1,h
830,1,h
831,1,h
832,1,h
833,1,h
834,0,
835,0,
836,0,
839,0,
840,0,
843,0,
844,1,l
845,0,
846,0,
847,0,
848,0,
849,1,h
850,1,m
851,1,m
852,1,m
853,1,m
854,1,e
855,1,e
856,1,h
857,1,h
858,1,h
859,1,e
860,1,h
861,1,e
862,1,h
863,1,h
864,1,m
865,1,h
866,1,m
867,1,m
868,0,e
869,0,
870,1,m
871,0,
872,1,m
873,1,h
874,1,m
875,1,h
876,1,m
877,1,h
878,1,h
879,1,h
880,1,h
881,1,h
882,1,h
883,1,h
884,1,h
885,1,h
886,1,h
887,1,h
888,0,
889,0,e
890,0,
891,1,m
892,1,m
893,1,l
894,1,l
895,1,m
896,1,l
897,1,l
898,1,l
899,1,l
900,1,l
901,1,l
902,1,m
903,1,l
904,1,l
905,2,h
906,1,l
907,1,l
908,1,l
909,1,l
910,0,
911,1,l
912,1,l
913,1,l
914,1,l
915,0,
916,1,l
917,1,l
918,1,l
919,1,m
920,1,l
921,1,l
922,0,
923,1,m
924,1,m
925,1,l
926,0,
927,1,m
928,1,l
929,1,l
930,1,l
931,1,l
932,1,l
933,1,l
934,1,l
935,0,
936,1,l
937,1,l
938,0,
939,1,l
940,1,l
941,1,l
942,1,l
943,1,l
944,1,l
945,1,l
946,1,l
947,1,l
948,1,h
949,1,l
950,0,
