Region,Treatment,Drought,SLA,Fl,A,gs,WC
North,pre,W,,,,,
North,pre,D,,,,,
North,peak,W,,,,,
North,peak,D,,,,,
Centre,pre,W,,,,,
Centre,pre,D,,,,,
Centre,peak,W,,,,,
Centre,peak,D,,,,,
South,pre,W,,,,,
South,pre,D,,,,,
South,peak,W,,,,,
South,peak,D,,,,,
