Order,Family,Block,Treatment,Site,Year
878,164,1,D,,
1270,164,2,D,,
2399,164,3,D,,
3044,164,4,D,,
143,164,1,W,,
573,164,2,W,,
1639,164,3,W,,
2070,164,4,W,,
973,165,1,D,,
1181,165,2,D,,
2424,165,3,D,,
3051,165,4,D,,
93,165,1,W,,
586,165,2,W,,
1565,165,3,W,,
2137,165,4,W,,
1142,166,1,D,,
1223,166,2,D,,
2422,166,3,D,,
3042,166,4,D,,
253,166,1,W,,
611,166,2,W,,
1842,166,3,W,,
2283,166,4,W,,
930,167,1,D,,
1169,167,2,D,,
2478,167,3,D,,
2829,167,4,D,,
257,167,1,W,,
687,167,2,W,,
1585,167,3,W,,
1958,167,4,W,,
941,168,1,D,,
1373,168,2,D,,
2615,168,3,D,,
2702,168,4,D,,
40,168,1,W,,
542,168,2,W,,
1584,168,3,W,,
2038,168,4,W,,
906,169,1,D,,
1347,169,2,D,,
2311,169,3,D,,
2729,169,4,D,,
39,169,1,W,,
425,169,2,W,,
1883,169,3,W,,
2251,169,4,W,,
841,170,1,D,,
1258,170,2,D,,
2447,170,3,D,,
2998,170,4,D,,
324,170,1,W,,
684,170,2,W,,
1884,170,3,W,,
2213,170,4,W,,
1093,171,1,D,,
1475,171,2,D,,
2551,171,3,D,,
2755,171,4,D,,
192,171,1,W,,
441,171,2,W,,
1778,171,3,W,,
2269,171,4,W,,
855,172,1,D,,
1164,172,2,D,,
2672,172,3,D,,
2816,172,4,D,,
348,172,1,W,,
680,172,2,W,,
1707,172,3,W,,
2250,172,4,W,,
1049,173,1,D,,
1440,173,2,D,,
2324,173,3,D,,
2715,173,4,D,,
75,173,1,W,,
520,173,2,W,,
1779,173,3,W,,
2231,173,4,W,,
1012,174,1,D,,
1517,174,2,D,,
2534,174,3,D,,
2712,174,4,D,,
76,174,1,W,,
557,174,2,W,,
1681,174,3,W,,
2141,174,4,W,,
771,175,1,D,,
1443,175,2,D,,
2656,175,3,D,,
2731,175,4,D,,
47,175,1,W,,
694,175,2,W,,
1679,175,3,W,,
2257,175,4,W,,
1011,176,1,D,,
1299,176,2,D,,
2384,176,3,D,,
2764,176,4,D,,
303,176,1,W,,
594,176,2,W,,
1913,176,3,W,,
2072,176,4,W,,
1108,177,1,D,,
1348,177,2,D,,
2418,177,3,D,,
2723,177,4,D,,
300,177,1,W,,
402,177,2,W,,
1880,177,3,W,,
2034,177,4,W,,
894,178,1,D,,
1467,178,2,D,,
2606,178,3,D,,
2713,178,4,D,,
338,178,1,W,,
679,178,2,W,,
1755,178,3,W,,
2067,178,4,W,,
989,179,1,D,,
1522,179,2,D,,
2586,179,3,D,,
2894,179,4,D,,
237,179,1,W,,
726,179,2,W,,
1776,179,3,W,,
2111,179,4,W,,
883,180,1,D,,
1189,180,2,D,,
2469,180,3,D,,
2844,180,4,D,,
23,180,1,W,,
571,180,2,W,,
1674,180,3,W,,
1988,180,4,W,,
978,181,1,D,,
1511,181,2,D,,
2561,181,3,D,,
3031,181,4,D,,
275,181,1,W,,
565,181,2,W,,
1852,181,3,W,,
1949,181,4,W,,
962,182,1,D,,
1292,182,2,D,,
2357,182,3,D,,
2705,182,4,D,,
289,182,1,W,,
705,182,2,W,,
1881,182,3,W,,
2090,182,4,W,,
784,183,1,D,,
1322,183,2,D,,
2622,183,3,D,,
2845,183,4,D,,
213,183,1,W,,
727,183,2,W,,
1885,183,3,W,,
2126,183,4,W,,
1092,184,1,D,,
1326,184,2,D,,
2662,184,3,D,,
2989,184,4,D,,
2,184,1,W,,
509,184,2,W,,
1658,184,3,W,,
2144,184,4,W,,
780,185,1,D,,
1280,185,2,D,,
2661,185,3,D,,
2890,185,4,D,,
245,185,1,W,,
569,185,2,W,,
1906,185,3,W,,
2119,185,4,W,,
1057,186,1,D,,
1396,186,2,D,,
2464,186,3,D,,
3053,186,4,D,,
60,186,1,W,,
736,186,2,W,,
1871,186,3,W,,
1981,186,4,W,,
1019,187,1,D,,
1218,187,2,D,,
2537,187,3,D,,
2892,187,4,D,,
283,187,1,W,,
524,187,2,W,,
1766,187,3,W,,
1929,187,4,W,,
1076,188,1,D,,
1186,188,2,D,,
2637,188,3,D,,
2788,188,4,D,,
273,188,1,W,,
414,188,2,W,,
1821,188,3,W,,
2087,188,4,W,,
907,189,1,D,,
1224,189,2,D,,
2420,189,3,D,,
2774,189,4,D,,
16,189,1,W,,
675,189,2,W,,
1557,189,3,W,,
2008,189,4,W,,
903,190,1,D,,
1372,190,2,D,,
2600,190,3,D,,
2915,190,4,D,,
216,190,1,W,,
678,190,2,W,,
1671,190,3,W,,
2222,190,4,W,,
782,191,1,D,,
1320,191,2,D,,
2555,191,3,D,,
2979,191,4,D,,
118,191,1,W,,
769,191,2,W,,
1786,191,3,W,,
2077,191,4,W,,
1086,192,1,D,,
1211,192,2,D,,
2472,192,3,D,,
2851,192,4,D,,
266,192,1,W,,
682,192,2,W,,
1556,192,3,W,,
2157,192,4,W,,
890,193,1,D,,
1461,193,2,D,,
2612,193,3,D,,
2758,193,4,D,,
104,193,1,W,,
545,193,2,W,,
1561,193,3,W,,
2042,193,4,W,,
1122,194,1,D,,
1477,194,2,D,,
2620,194,3,D,,
2734,194,4,D,,
372,194,1,W,,
741,194,2,W,,
1692,194,3,W,,
2035,194,4,W,,
947,195,1,D,,
1267,195,2,D,,
2516,195,3,D,,
2952,195,4,D,,
365,195,1,W,,
667,195,2,W,,
1811,195,3,W,,
2017,195,4,W,,
1069,196,1,D,,
1493,196,2,D,,
2552,196,3,D,,
2717,196,4,D,,
24,196,1,W,,
638,196,2,W,,
1558,196,3,W,,
2206,196,4,W,,
1112,197,1,D,,
1425,197,2,D,,
2688,197,3,D,,
2748,197,4,D,,
301,197,1,W,,
472,197,2,W,,
1709,197,3,W,,
2027,197,4,W,,
977,198,1,D,,
1390,198,2,D,,
2336,198,3,D,,
3048,198,4,D,,
249,198,1,W,,
539,198,2,W,,
1632,198,3,W,,
1954,198,4,W,,
876,199,1,D,,
1494,199,2,D,,
2665,199,3,D,,
2769,199,4,D,,
57,199,1,W,,
618,199,2,W,,
1782,199,3,W,,
2285,199,4,W,,
823,200,1,D,,
1266,200,2,D,,
2691,200,3,D,,
2882,200,4,D,,
137,200,1,W,,
388,200,2,W,,
1733,200,3,W,,
2298,200,4,W,,
1124,201,1,D,,
1523,201,2,D,,
2669,201,3,D,,
2855,201,4,D,,
148,201,1,W,,
561,201,2,W,,
1653,201,3,W,,
2130,201,4,W,,
1154,202,1,D,,
1538,202,2,D,,
2480,202,3,D,,
2921,202,4,D,,
198,202,1,W,,
676,202,2,W,,
1817,202,3,W,,
2214,202,4,W,,
972,203,1,D,,
1512,203,2,D,,
2573,203,3,D,,
2925,203,4,D,,
375,203,1,W,,
473,203,2,W,,
1588,203,3,W,,
2036,203,4,W,,
997,204,1,D,,
1375,204,2,D,,
2553,204,3,D,,
2716,204,4,D,,
360,204,1,W,,
397,204,2,W,,
1893,204,3,W,,
2180,204,4,W,,
1039,205,1,D,,
1301,205,2,D,,
2429,205,3,D,,
2833,205,4,D,,
318,205,1,W,,
548,205,2,W,,
1790,205,3,W,,
2125,205,4,W,,
857,206,1,D,,
1183,206,2,D,,
2682,206,3,D,,
2982,206,4,D,,
56,206,1,W,,
738,206,2,W,,
1864,206,3,W,,
2162,206,4,W,,
1123,207,1,D,,
1354,207,2,D,,
2328,207,3,D,,
3024,207,4,D,,
68,207,1,W,,
510,207,2,W,,
1648,207,3,W,,
2155,207,4,W,,
1067,208,1,D,,
1380,208,2,D,,
2312,208,3,D,,
2935,208,4,D,,
70,208,1,W,,
572,208,2,W,,
1724,208,3,W,,
2224,208,4,W,,
853,209,1,D,,
1210,209,2,D,,
2649,209,3,D,,
2701,209,4,D,,
33,209,1,W,,
757,209,2,W,,
1910,209,3,W,,
2095,209,4,W,,
848,210,1,D,,
1509,210,2,D,,
2332,210,3,D,,
2923,210,4,D,,
351,210,1,W,,
576,210,2,W,,
1882,210,3,W,,
2280,210,4,W,,
1051,211,1,D,,
1457,211,2,D,,
2313,211,3,D,,
3037,211,4,D,,
1,211,1,W,,
725,211,2,W,,
1743,211,3,W,,
2243,211,4,W,,
781,212,1,D,,
1247,212,2,D,,
2483,212,3,D,,
2865,212,4,D,,
357,212,1,W,,
417,212,2,W,,
1603,212,3,W,,
2046,212,4,W,,
983,213,1,D,,
1329,213,2,D,,
2528,213,3,D,,
3030,213,4,D,,
219,213,1,W,,
759,213,2,W,,
1879,213,3,W,,
2055,213,4,W,,
1048,214,1,D,,
1213,214,2,D,,
2382,214,3,D,,
2895,214,4,D,,
232,214,1,W,,
554,214,2,W,,
1737,214,3,W,,
2260,214,4,W,,
785,215,1,D,,
1368,215,2,D,,
2515,215,3,D,,
2874,215,4,D,,
71,215,1,W,,
446,215,2,W,,
1667,215,3,W,,
2292,215,4,W,,
1058,216,1,D,,
1382,216,2,D,,
2588,216,3,D,,
2790,216,4,D,,
105,216,1,W,,
553,216,2,W,,
1808,216,3,W,,
2021,216,4,W,,
1143,217,1,D,,
1239,217,2,D,,
2329,217,3,D,,
3052,217,4,D,,
17,217,1,W,,
570,217,2,W,,
1642,217,3,W,,
2183,217,4,W,,
1144,218,1,D,,
1199,218,2,D,,
2503,218,3,D,,
2997,218,4,D,,
147,218,1,W,,
427,218,2,W,,
1763,218,3,W,,
2212,218,4,W,,
846,219,1,D,,
1453,219,2,D,,
2521,219,3,D,,
2922,219,4,D,,
182,219,1,W,,
662,219,2,W,,
1832,219,3,W,,
2191,219,4,W,,
934,220,1,D,,
1489,220,2,D,,
2404,220,3,D,,
2709,220,4,D,,
293,220,1,W,,
502,220,2,W,,
1890,220,3,W,,
2242,220,4,W,,
809,221,1,D,,
1435,221,2,D,,
2346,221,3,D,,
2835,221,4,D,,
172,221,1,W,,
409,221,2,W,,
1762,221,3,W,,
2188,221,4,W,,
805,222,1,D,,
1459,222,2,D,,
2340,222,3,D,,
3040,222,4,D,,
145,222,1,W,,
396,222,2,W,,
1889,222,3,W,,
1978,222,4,W,,
863,223,1,D,,
1408,223,2,D,,
2330,223,3,D,,
3001,223,4,D,,
14,223,1,W,,
712,223,2,W,,
1591,223,3,W,,
2309,223,4,W,,
959,224,1,D,,
1418,224,2,D,,
2485,224,3,D,,
2873,224,4,D,,
156,224,1,W,,
507,224,2,W,,
1611,224,3,W,,
1979,224,4,W,,
845,225,1,D,,
1278,225,2,D,,
2674,225,3,D,,
2815,225,4,D,,
77,225,1,W,,
516,225,2,W,,
1703,225,3,W,,
2305,225,4,W,,
917,226,1,D,,
1316,226,2,D,,
2616,226,3,D,,
3015,226,4,D,,
59,226,1,W,,
433,226,2,W,,
1730,226,3,W,,
1971,226,4,W,,
1075,227,1,D,,
1367,227,2,D,,
2354,227,3,D,,
3022,227,4,D,,
12,227,1,W,,
628,227,2,W,,
1793,227,3,W,,
2051,227,4,W,,
998,228,1,D,,
1341,228,2,D,,
2434,228,3,D,,
3077,228,4,D,,
35,228,1,W,,
655,228,2,W,,
1610,228,3,W,,
1956,228,4,W,,
912,229,1,D,,
1531,229,2,D,,
2638,229,3,D,,
2759,229,4,D,,
298,229,1,W,,
535,229,2,W,,
1661,229,3,W,,
2078,229,4,W,,
1007,230,1,D,,
1527,230,2,D,,
2474,230,3,D,,
3029,230,4,D,,
160,230,1,W,,
633,230,2,W,,
1592,230,3,W,,
2279,230,4,W,,
1140,231,1,D,,
1486,231,2,D,,
2540,231,3,D,,
2786,231,4,D,,
373,231,1,W,,
766,231,2,W,,
1564,231,3,W,,
2061,231,4,W,,
961,232,1,D,,
1235,232,2,D,,
2660,232,3,D,,
2775,232,4,D,,
66,232,1,W,,
492,232,2,W,,
1612,232,3,W,,
2204,232,4,W,,
965,233,1,D,,
1409,233,2,D,,
2481,233,3,D,,
2956,233,4,D,,
115,233,1,W,,
528,233,2,W,,
1905,233,3,W,,
2219,233,4,W,,
852,234,1,D,,
1514,234,2,D,,
2333,234,3,D,,
3002,234,4,D,,
252,234,1,W,,
580,234,2,W,,
1816,234,3,W,,
2175,234,4,W,,
1120,235,1,D,,
1379,235,2,D,,
2652,235,3,D,,
2804,235,4,D,,
181,235,1,W,,
623,235,2,W,,
1909,235,3,W,,
2159,235,4,W,,
1136,236,1,D,,
1342,236,2,D,,
2618,236,3,D,,
3067,236,4,D,,
34,236,1,W,,
541,236,2,W,,
1676,236,3,W,,
2002,236,4,W,,
999,237,1,D,,
1332,237,2,D,,
2630,237,3,D,,
2896,237,4,D,,
150,237,1,W,,
716,237,2,W,,
1921,237,3,W,,
2114,237,4,W,,
1004,238,1,D,,
1242,238,2,D,,
2554,238,3,D,,
2955,238,4,D,,
343,238,1,W,,
743,238,2,W,,
1719,238,3,W,,
2195,238,4,W,,
795,239,1,D,,
1388,239,2,D,,
2663,239,3,D,,
2778,239,4,D,,
119,239,1,W,,
677,239,2,W,,
1839,239,3,W,,
2240,239,4,W,,
974,240,1,D,,
1168,240,2,D,,
2558,240,3,D,,
2993,240,4,D,,
187,240,1,W,,
604,240,2,W,,
1656,240,3,W,,
2230,240,4,W,,
1047,241,1,D,,
1476,241,2,D,,
2453,241,3,D,,
2749,241,4,D,,
179,241,1,W,,
641,241,2,W,,
1559,241,3,W,,
2053,241,4,W,,
1127,242,1,D,,
1468,242,2,D,,
2406,242,3,D,,
2751,242,4,D,,
328,242,1,W,,
730,242,2,W,,
1665,242,3,W,,
1995,242,4,W,,
908,243,1,D,,
1343,243,2,D,,
2412,243,3,D,,
2885,243,4,D,,
215,243,1,W,,
710,243,2,W,,
1765,243,3,W,,
2216,243,4,W,,
889,244,1,D,,
1188,244,2,D,,
2644,244,3,D,,
2908,244,4,D,,
268,244,1,W,,
552,244,2,W,,
1622,244,3,W,,
1957,244,4,W,,
1117,245,1,D,,
1508,245,2,D,,
2693,245,3,D,,
2861,245,4,D,,
287,245,1,W,,
668,245,2,W,,
1758,245,3,W,,
1992,245,4,W,,
815,246,1,D,,
1170,246,2,D,,
2522,246,3,D,,
2954,246,4,D,,
6,246,1,W,,
564,246,2,W,,
1602,246,3,W,,
2267,246,4,W,,
1083,247,1,D,,
1268,247,2,D,,
2564,247,3,D,,
3006,247,4,D,,
169,247,1,W,,
660,247,2,W,,
1728,247,3,W,,
1975,247,4,W,,
1105,248,1,D,,
1385,248,2,D,,
2641,248,3,D,,
2703,248,4,D,,
91,248,1,W,,
601,248,2,W,,
1853,248,3,W,,
2145,248,4,W,,
893,249,1,D,,
1473,249,2,D,,
2529,249,3,D,,
2999,249,4,D,,
247,249,1,W,,
737,249,2,W,,
1815,249,3,W,,
1998,249,4,W,,
879,250,1,D,,
1432,250,2,D,,
2484,250,3,D,,
2869,250,4,D,,
334,250,1,W,,
449,250,2,W,,
1827,250,3,W,,
2000,250,4,W,,
877,251,1,D,,
1369,251,2,D,,
2479,251,3,D,,
2864,251,4,D,,
226,251,1,W,,
719,251,2,W,,
1750,251,3,W,,
1972,251,4,W,,
996,252,1,D,,
1520,252,2,D,,
2379,252,3,D,,
3020,252,4,D,,
259,252,1,W,,
550,252,2,W,,
1668,252,3,W,,
1933,252,4,W,,
1010,253,1,D,,
1539,253,2,D,,
2681,253,3,D,,
2883,253,4,D,,
188,253,1,W,,
474,253,2,W,,
1746,253,3,W,,
2229,253,4,W,,
992,254,1,D,,
1264,254,2,D,,
2490,254,3,D,,
2856,254,4,D,,
206,254,1,W,,
470,254,2,W,,
1567,254,3,W,,
2237,254,4,W,,
937,255,1,D,,
1491,255,2,D,,
2683,255,3,D,,
2858,255,4,D,,
195,255,1,W,,
749,255,2,W,,
1735,255,3,W,,
2189,255,4,W,,
975,256,1,D,,
1521,256,2,D,,
2654,256,3,D,,
2840,256,4,D,,
363,256,1,W,,
392,256,2,W,,
1725,256,3,W,,
1953,256,4,W,,
1038,257,1,D,,
1436,257,2,D,,
2611,257,3,D,,
2814,257,4,D,,
255,257,1,W,,
562,257,2,W,,
1858,257,3,W,,
2054,257,4,W,,
1100,258,1,D,,
1288,258,2,D,,
2459,258,3,D,,
2696,258,4,D,,
28,258,1,W,,
459,258,2,W,,
1757,258,3,W,,
1961,258,4,W,,
869,259,1,D,,
1426,259,2,D,,
2394,259,3,D,,
2857,259,4,D,,
374,259,1,W,,
479,259,2,W,,
1555,259,3,W,,
2239,259,4,W,,
1061,260,1,D,,
1177,260,2,D,,
2426,260,3,D,,
2803,260,4,D,,
233,260,1,W,,
607,260,2,W,,
1848,260,3,W,,
2063,260,4,W,,
966,261,1,D,,
1364,261,2,D,,
2687,261,3,D,,
2877,261,4,D,,
103,261,1,W,,
621,261,2,W,,
1693,261,3,W,,
1938,261,4,W,,
861,262,1,D,,
1537,262,2,D,,
2526,262,3,D,,
2706,262,4,D,,
122,262,1,W,,
484,262,2,W,,
1869,262,3,W,,
1970,262,4,W,,
1103,263,1,D,,
1222,263,2,D,,
2544,263,3,D,,
3026,263,4,D,,
366,263,1,W,,
704,263,2,W,,
1753,263,3,W,,
1959,263,4,W,,
1032,264,1,D,,
1166,264,2,D,,
2400,264,3,D,,
3063,264,4,D,,
18,264,1,W,,
702,264,2,W,,
1723,264,3,W,,
2193,264,4,W,,
1064,265,1,D,,
1437,265,2,D,,
2569,265,3,D,,
2950,265,4,D,,
170,265,1,W,,
740,265,2,W,,
1851,265,3,W,,
1996,265,4,W,,
955,266,1,D,,
1160,266,2,D,,
2619,266,3,D,,
2760,266,4,D,,
79,266,1,W,,
420,266,2,W,,
1547,266,3,W,,
2066,266,4,W,,
928,267,1,D,,
1336,267,2,D,,
2508,267,3,D,,
3018,267,4,D,,
200,267,1,W,,
501,267,2,W,,
1660,267,3,W,,
2310,267,4,W,,
1091,268,1,D,,
1378,268,2,D,,
2377,268,3,D,,
2807,268,4,D,,
175,268,1,W,,
435,268,2,W,,
1899,268,3,W,,
1977,268,4,W,,
932,269,1,D,,
1318,269,2,D,,
2536,269,3,D,,
2911,269,4,D,,
124,269,1,W,,
640,269,2,W,,
1847,269,3,W,,
2107,269,4,W,,
949,270,1,D,,
1387,270,2,D,,
2666,270,3,D,,
2730,270,4,D,,
49,270,1,W,,
461,270,2,W,,
1704,270,3,W,,
2152,270,4,W,,
993,271,1,D,,
1536,271,2,D,,
2671,271,3,D,,
2901,271,4,D,,
82,271,1,W,,
559,271,2,W,,
1683,271,3,W,,
2301,271,4,W,,
916,272,1,D,,
1447,272,2,D,,
2362,272,3,D,,
2974,272,4,D,,
220,272,1,W,,
634,272,2,W,,
1644,272,3,W,,
2096,272,4,W,,
897,273,1,D,,
1197,273,2,D,,
2443,273,3,D,,
3071,273,4,D,,
73,273,1,W,,
723,273,2,W,,
1729,273,3,W,,
2113,273,4,W,,
935,274,1,D,,
1463,274,2,D,,
2352,274,3,D,,
3038,274,4,D,,
108,274,1,W,,
756,274,2,W,,
1542,274,3,W,,
2236,274,4,W,,
1059,275,1,D,,
1499,275,2,D,,
2514,275,3,D,,
2931,275,4,D,,
230,275,1,W,,
753,275,2,W,,
1887,275,3,W,,
2138,275,4,W,,
1072,276,1,D,,
1540,276,2,D,,
2491,276,3,D,,
2926,276,4,D,,
10,276,1,W,,
483,276,2,W,,
1813,276,3,W,,
2274,276,4,W,,
843,277,1,D,,
1474,277,2,D,,
2541,277,3,D,,
2720,277,4,D,,
285,277,1,W,,
494,277,2,W,,
1741,277,3,W,,
2018,277,4,W,,
895,278,1,D,,
1192,278,2,D,,
2350,278,3,D,,
3078,278,4,D,,
309,278,1,W,,
664,278,2,W,,
1717,278,3,W,,
2108,278,4,W,,
1016,279,1,D,,
1297,279,2,D,,
2689,279,3,D,,
2929,279,4,D,,
347,279,1,W,,
513,279,2,W,,
1900,279,3,W,,
2294,279,4,W,,
986,280,1,D,,
1401,280,2,D,,
2446,280,3,D,,
2708,280,4,D,,
30,280,1,W,,
763,280,2,W,,
1799,280,3,W,,
2210,280,4,W,,
844,281,1,D,,
1190,281,2,D,,
2574,281,3,D,,
2904,281,4,D,,
176,281,1,W,,
688,281,2,W,,
1902,281,3,W,,
1989,281,4,W,,
1060,282,1,D,,
1244,282,2,D,,
2599,282,3,D,,
2884,282,4,D,,
256,282,1,W,,
605,282,2,W,,
1663,282,3,W,,
2023,282,4,W,,
1155,283,1,D,,
1533,283,2,D,,
2694,283,3,D,,
2994,283,4,D,,
153,283,1,W,,
598,283,2,W,,
1740,283,3,W,,
2185,283,4,W,,
825,284,1,D,,
1406,284,2,D,,
2535,284,3,D,,
2906,284,4,D,,
307,284,1,W,,
434,284,2,W,,
1651,284,3,W,,
2026,284,4,W,,
1121,285,1,D,,
1236,285,2,D,,
2597,285,3,D,,
2801,285,4,D,,
380,285,1,W,,
389,285,2,W,,
1570,285,3,W,,
2217,285,4,W,,
801,286,1,D,,
1298,286,2,D,,
2463,286,3,D,,
2910,286,4,D,,
69,286,1,W,,
622,286,2,W,,
1855,286,3,W,,
2256,286,4,W,,
933,287,1,D,,
1450,287,2,D,,
2465,287,3,D,,
2886,287,4,D,,
189,287,1,W,,
644,287,2,W,,
1636,287,3,W,,
2286,287,4,W,,
862,288,1,D,,
1303,288,2,D,,
2359,288,3,D,,
2966,288,4,D,,
313,288,1,W,,
440,288,2,W,,
1699,288,3,W,,
2158,288,4,W,,
1078,289,1,D,,
1349,289,2,D,,
2403,289,3,D,,
2863,289,4,D,,
81,289,1,W,,
612,289,2,W,,
1754,289,3,W,,
2135,289,4,W,,
858,290,1,D,,
1460,290,2,D,,
2327,290,3,D,,
2753,290,4,D,,
63,290,1,W,,
515,290,2,W,,
1834,290,3,W,,
1986,290,4,W,,
836,291,1,D,,
1479,291,2,D,,
2432,291,3,D,,
2725,291,4,D,,
120,291,1,W,,
490,291,2,W,,
1878,291,3,W,,
2296,291,4,W,,
967,292,1,D,,
1530,292,2,D,,
2440,292,3,D,,
2903,292,4,D,,
58,292,1,W,,
656,292,2,W,,
1581,292,3,W,,
2112,292,4,W,,
969,293,1,D,,
1492,293,2,D,,
2596,293,3,D,,
3016,293,4,D,,
236,293,1,W,,
591,293,2,W,,
1613,293,3,W,,
2097,293,4,W,,
964,294,1,D,,
1400,294,2,D,,
2343,294,3,D,,
2800,294,4,D,,
205,294,1,W,,
448,294,2,W,,
1575,294,3,W,,
1983,294,4,W,,
850,295,1,D,,
1260,295,2,D,,
2401,295,3,D,,
2772,295,4,D,,
317,295,1,W,,
496,295,2,W,,
1573,295,3,W,,
2101,295,4,W,,
1021,296,1,D,,
1208,296,2,D,,
2631,296,3,D,,
3062,296,4,D,,
80,296,1,W,,
587,296,2,W,,
1833,296,3,W,,
2049,296,4,W,,
1027,297,1,D,,
1411,297,2,D,,
2577,297,3,D,,
3074,297,4,D,,
277,297,1,W,,
406,297,2,W,,
1601,297,3,W,,
2013,297,4,W,,
1054,298,1,D,,
1428,298,2,D,,
2578,298,3,D,,
2728,298,4,D,,
109,298,1,W,,
653,298,2,W,,
1597,298,3,W,,
1952,298,4,W,,
1017,299,1,D,,
1351,299,2,D,,
2433,299,3,D,,
2794,299,4,D,,
164,299,1,W,,
549,299,2,W,,
1716,299,3,W,,
2094,299,4,W,,
1094,300,1,D,,
1196,300,2,D,,
2317,300,3,D,,
3076,300,4,D,,
184,300,1,W,,
626,300,2,W,,
1617,300,3,W,,
1940,300,4,W,,
1042,302,1,D,,
1506,302,2,D,,
2444,302,3,D,,
2959,302,4,D,,
132,302,1,W,,
701,302,2,W,,
1922,302,3,W,,
2234,302,4,W,,
1130,303,1,D,,
1171,303,2,D,,
2670,303,3,D,,
2852,303,4,D,,
385,303,1,W,,
689,303,2,W,,
1892,303,3,W,,
2177,303,4,W,,
979,304,1,D,,
1254,304,2,D,,
2635,304,3,D,,
2964,304,4,D,,
327,304,1,W,,
551,304,2,W,,
1772,304,3,W,,
2149,304,4,W,,
1046,305,1,D,,
1414,305,2,D,,
2476,305,3,D,,
3073,305,4,D,,
146,305,1,W,,
599,305,2,W,,
1836,305,3,W,,
2184,305,4,W,,
885,306,1,D,,
1194,306,2,D,,
2383,306,3,D,,
3012,306,4,D,,
37,306,1,W,,
493,306,2,W,,
1845,306,3,W,,
1985,306,4,W,,
902,307,1,D,,
1365,307,2,D,,
2647,307,3,D,,
2985,307,4,D,,
325,307,1,W,,
748,307,2,W,,
1888,307,3,W,,
2019,307,4,W,,
892,308,1,D,,
1337,308,2,D,,
2435,308,3,D,,
2750,308,4,D,,
350,308,1,W,,
456,308,2,W,,
1838,308,3,W,,
2056,308,4,W,,
911,309,1,D,,
1321,309,2,D,,
2413,309,3,D,,
2948,309,4,D,,
38,309,1,W,,
531,309,2,W,,
1917,309,3,W,,
2254,309,4,W,,
1085,310,1,D,,
1221,310,2,D,,
2624,310,3,D,,
2899,310,4,D,,
265,310,1,W,,
485,310,2,W,,
1640,310,3,W,,
2133,310,4,W,,
1115,311,1,D,,
1487,311,2,D,,
2322,311,3,D,,
2971,311,4,D,,
267,311,1,W,,
674,311,2,W,,
1697,311,3,W,,
2069,311,4,W,,
1097,312,1,D,,
1335,312,2,D,,
2583,312,3,D,,
2893,312,4,D,,
224,312,1,W,,
467,312,2,W,,
1801,312,3,W,,
2220,312,4,W,,
1025,313,1,D,,
1296,313,2,D,,
2518,313,3,D,,
2740,313,4,D,,
125,313,1,W,,
713,313,2,W,,
1760,313,3,W,,
2115,313,4,W,,
1008,314,1,D,,
1232,314,2,D,,
2449,314,3,D,,
3032,314,4,D,,
128,314,1,W,,
711,314,2,W,,
1721,314,3,W,,
2265,314,4,W,,
940,315,1,D,,
1227,315,2,D,,
2380,315,3,D,,
2927,315,4,D,,
353,315,1,W,,
673,315,2,W,,
1895,315,3,W,,
1941,315,4,W,,
1024,316,1,D,,
1383,316,2,D,,
2439,316,3,D,,
2792,316,4,D,,
296,316,1,W,,
624,316,2,W,,
1829,316,3,W,,
2047,316,4,W,,
790,317,1,D,,
1352,317,2,D,,
2366,317,3,D,,
2970,317,4,D,,
78,317,1,W,,
706,317,2,W,,
1843,317,3,W,,
2170,317,4,W,,
816,318,1,D,,
1381,318,2,D,,
2556,318,3,D,,
2963,318,4,D,,
315,318,1,W,,
639,318,2,W,,
1688,318,3,W,,
2154,318,4,W,,
960,319,1,D,,
1338,319,2,D,,
2408,319,3,D,,
3010,319,4,D,,
21,319,1,W,,
530,319,2,W,,
1620,319,3,W,,
2134,319,4,W,,
971,320,1,D,,
1424,320,2,D,,
2497,320,3,D,,
3046,320,4,D,,
291,320,1,W,,
438,320,2,W,,
1677,320,3,W,,
2100,320,4,W,,
1149,321,1,D,,
1524,321,2,D,,
2530,321,3,D,,
2793,321,4,D,,
251,321,1,W,,
659,321,2,W,,
1711,321,3,W,,
2024,321,4,W,,
954,322,1,D,,
1271,322,2,D,,
2678,322,3,D,,
2879,322,4,D,,
106,322,1,W,,
394,322,2,W,,
1873,322,3,W,,
2136,322,4,W,,
948,323,1,D,,
1393,323,2,D,,
2673,323,3,D,,
2933,323,4,D,,
53,323,1,W,,
500,323,2,W,,
1609,323,3,W,,
2238,323,4,W,,
796,324,1,D,,
1516,324,2,D,,
2545,324,3,D,,
2831,324,4,D,,
168,324,1,W,,
512,324,2,W,,
1774,324,3,W,,
2289,324,4,W,,
1152,325,1,D,,
1283,325,2,D,,
2498,325,3,D,,
2824,325,4,D,,
126,325,1,W,,
588,325,2,W,,
1925,325,3,W,,
2058,325,4,W,,
1009,326,1,D,,
1374,326,2,D,,
2402,326,3,D,,
3000,326,4,D,,
370,326,1,W,,
690,326,2,W,,
1545,326,3,W,,
1947,326,4,W,,
1102,327,1,D,,
1172,327,2,D,,
2326,327,3,D,,
3050,327,4,D,,
262,327,1,W,,
526,327,2,W,,
1891,327,3,W,,
2089,327,4,W,,
970,328,1,D,,
1314,328,2,D,,
2475,328,3,D,,
2992,328,4,D,,
231,328,1,W,,
