Order,Family,Block,Treatment,Site,Year
1355,42,2,D,,
2415,42,3,D,,
3061,42,4,D,,
142,42,1,W,,
444,42,2,W,,
1713,42,3,W,,
2085,42,4,W,,
905,43,1,D,,
1182,43,2,D,,
2501,43,3,D,,
3057,43,4,D,,
83,43,1,W,,
537,43,2,W,,
1577,43,3,W,,
2129,43,4,W,,
1041,44,1,D,,
1485,44,2,D,,
2416,44,3,D,,
2818,44,4,D,,
308,44,1,W,,
649,44,2,W,,
1898,44,3,W,,
2091,44,4,W,,
1096,45,1,D,,
1394,45,2,D,,
2438,45,3,D,,
2978,45,4,D,,
8,45,1,W,,
646,45,2,W,,
1715,45,3,W,,
2181,45,4,W,,
939,46,1,D,,
1230,46,2,D,,
2519,46,3,D,,
3014,46,4,D,,
246,46,1,W,,
390,46,2,W,,
1752,46,3,W,,
2272,46,4,W,,
837,47,1,D,,
1313,47,2,D,,
2454,47,3,D,,
2866,47,4,D,,
9,47,1,W,,
686,47,2,W,,
1907,47,3,W,,
2252,47,4,W,,
840,48,1,D,,
1410,48,2,D,,
2487,48,3,D,,
2936,48,4,D,,
355,48,1,W,,
729,48,2,W,,
1868,48,3,W,,
2093,48,4,W,,
1104,49,1,D,,
1480,49,2,D,,
2632,49,3,D,,
2990,49,4,D,,
180,49,1,W,,
563,49,2,W,,
1918,49,3,W,,
2241,49,4,W,,
791,50,1,D,,
1331,50,2,D,,
2374,50,3,D,,
2968,50,4,D,,
282,50,1,W,,
627,50,2,W,,
1805,50,3,W,,
2308,50,4,W,,
1146,51,1,D,,
1507,51,2,D,,
2334,51,3,D,,
2973,51,4,D,,
238,51,1,W,,
731,51,2,W,,
1562,51,3,W,,
1945,51,4,W,,
867,52,1,D,,
1220,52,2,D,,
2621,52,3,D,,
2777,52,4,D,,
87,52,1,W,,
547,52,2,W,,
1865,52,3,W,,
2258,52,4,W,,
824,53,1,D,,
1345,53,2,D,,
2323,53,3,D,,
3055,53,4,D,,
31,53,1,W,,
386,53,2,W,,
1546,53,3,W,,
1967,53,4,W,,
981,54,1,D,,
1334,54,2,D,,
2525,54,3,D,,
2737,54,4,D,,
44,54,1,W,,
407,54,2,W,,
1866,54,3,W,,
2030,54,4,W,,
968,55,1,D,,
1257,55,2,D,,
2473,55,3,D,,
3075,55,4,D,,
194,55,1,W,,
497,55,2,W,,
1894,55,3,W,,
2199,55,4,W,,
1037,56,1,D,,
1456,56,2,D,,
2428,56,3,D,,
2939,56,4,D,,
98,56,1,W,,
697,56,2,W,,
1623,56,3,W,,
2168,56,4,W,,
779,57,1,D,,
1203,57,2,D,,
2639,57,3,D,,
2828,57,4,D,,
340,57,1,W,,
491,57,2,W,,
1798,57,3,W,,
2182,57,4,W,,
807,58,1,D,,
1202,58,2,D,,
2348,58,3,D,,
2860,58,4,D,,
321,58,1,W,,
745,58,2,W,,
1761,58,3,W,,
1936,58,4,W,,
835,59,1,D,,
1503,59,2,D,,
2325,59,3,D,,
2771,59,4,D,,
129,59,1,W,,
525,59,2,W,,
1781,59,3,W,,
1931,59,4,W,,
798,60,1,D,,
1180,60,2,D,,
2576,60,3,D,,
2842,60,4,D,,
261,60,1,W,,
387,60,2,W,,
1804,60,3,W,,
1994,60,4,W,,
995,61,1,D,,
1402,61,2,D,,
2315,61,3,D,,
2867,61,4,D,,
204,61,1,W,,
568,61,2,W,,
1875,61,3,W,,
2290,61,4,W,,
1141,62,1,D,,
1386,62,2,D,,
2369,62,3,D,,
2785,62,4,D,,
367,62,1,W,,
592,62,2,W,,
1553,62,3,W,,
2302,62,4,W,,
1145,63,1,D,,
1451,63,2,D,,
2589,63,3,D,,
2832,63,4,D,,
242,63,1,W,,
463,63,2,W,,
1841,63,3,W,,
2293,63,4,W,,
830,64,1,D,,
1423,64,2,D,,
2636,64,3,D,,
2913,64,4,D,,
352,64,1,W,,
429,64,2,W,,
1712,64,3,W,,
2099,64,4,W,,
1033,65,1,D,,
1466,65,2,D,,
2458,65,3,D,,
2916,65,4,D,,
186,65,1,W,,
466,65,2,W,,
1643,65,3,W,,
2011,65,4,W,,
799,66,1,D,,
1253,66,2,D,,
2376,66,3,D,,
2888,66,4,D,,
121,66,1,W,,
593,66,2,W,,
1824,66,3,W,,
2197,66,4,W,,
943,67,1,D,,
1262,67,2,D,,
2613,67,3,D,,
2714,67,4,D,,
369,67,1,W,,
460,67,2,W,,
1807,67,3,W,,
2084,67,4,W,,
804,68,1,D,,
1249,68,2,D,,
2506,68,3,D,,
2700,68,4,D,,
90,68,1,W,,
408,68,2,W,,
1747,68,3,W,,
2153,68,4,W,,
874,69,1,D,,
1454,69,2,D,,
2388,69,3,D,,
2917,69,4,D,,
286,69,1,W,,
750,69,2,W,,
1650,69,3,W,,
1976,69,4,W,,
920,70,1,D,,
1465,70,2,D,,
2513,70,3,D,,
2823,70,4,D,,
306,70,1,W,,
693,70,2,W,,
1696,70,3,W,,
2198,70,4,W,,
1137,71,1,D,,
1360,71,2,D,,
2520,71,3,D,,
3070,71,4,D,,
382,71,1,W,,
692,71,2,W,,
1739,71,3,W,,
2270,71,4,W,,
1135,72,1,D,,
1265,72,2,D,,
2371,72,3,D,,
2768,72,4,D,,
110,72,1,W,,
685,72,2,W,,
1672,72,3,W,,
2268,72,4,W,,
1118,73,1,D,,
1312,73,2,D,,
2591,73,3,D,,
2817,73,4,D,,
344,73,1,W,,
566,73,2,W,,
1828,73,3,W,,
2276,73,4,W,,
1000,74,1,D,,
1226,74,2,D,,
2650,74,3,D,,
2820,74,4,D,,
239,74,1,W,,
488,74,2,W,,
1794,74,3,W,,
2156,74,4,W,,
1071,75,1,D,,
1300,75,2,D,,
2659,75,3,D,,
2909,75,4,D,,
342,75,1,W,,
630,75,2,W,,
1749,75,3,W,,
2215,75,4,W,,
813,76,1,D,,
1307,76,2,D,,
2605,76,3,D,,
2802,76,4,D,,
135,76,1,W,,
518,76,2,W,,
1634,76,3,W,,
2103,76,4,W,,
800,77,1,D,,
1384,77,2,D,,
2407,77,3,D,,
2848,77,4,D,,
139,77,1,W,,
391,77,2,W,,
1759,77,3,W,,
1974,77,4,W,,
1070,78,1,D,,
1439,78,2,D,,
2450,78,3,D,,
2991,78,4,D,,
364,78,1,W,,
422,78,2,W,,
1706,78,3,W,,
2081,78,4,W,,
990,79,1,D,,
1156,79,2,D,,
2538,79,3,D,,
2868,79,4,D,,
43,79,1,W,,
521,79,2,W,,
1744,79,3,W,,
2010,79,4,W,,
957,80,1,D,,
1500,80,2,D,,
2414,80,3,D,,
2779,80,4,D,,
229,80,1,W,,
722,80,2,W,,
1554,80,3,W,,
2146,80,4,W,,
793,81,1,D,,
1294,81,2,D,,
2640,81,3,D,,
2743,81,4,D,,
159,81,1,W,,
578,81,2,W,,
1596,81,3,W,,
1930,81,4,W,,
944,82,1,D,,
1200,82,2,D,,
2462,82,3,D,,
3072,82,4,D,,
36,82,1,W,,
609,82,2,W,,
1614,82,3,W,,
2076,82,4,W,,
1099,83,1,D,,
1240,83,2,D,,
2607,83,3,D,,
2900,83,4,D,,
29,83,1,W,,
458,83,2,W,,
1785,83,3,W,,
2059,83,4,W,,
1090,84,1,D,,
1195,84,2,D,,
2657,84,3,D,,
2733,84,4,D,,
320,84,1,W,,
453,84,2,W,,
1756,84,3,W,,
