"","Year","SPEI","Site"
"1","01/07/2007",-1.6821722984314,1
"2","01/07/2007",-1.72377192974091,12
"3","01/07/2007",-1.50346732139587,2
"4","01/07/2007",-0.880787909030914,3
"5","01/07/2007",-1.23394787311554,4
"6","01/07/2007",-0.326758146286011,5
"7","01/07/2007",-1.29053974151611,6
"8","01/07/2007",-1.24656867980957,7
"9","01/07/2007",-0.260315924882889,8
"10","01/07/2007",-0.260315924882889,9
"11","01/07/2007",-0.170772701501846,10
"12","01/07/2007",0.0934929624199867,11
"13","01/07/2008",-0.538657903671265,1
"14","01/07/2008",-0.176323130726814,12
"15","01/07/2008",-0.115245223045349,2
"16","01/07/2008",0.0766367688775063,3
"17","01/07/2008",-0.0504385717213154,4
"18","01/07/2008",0.304770410060883,5
"19","01/07/2008",-0.805928826332092,6
"20","01/07/2008",-1.14935398101807,7
"21","01/07/2008",-0.350667923688889,8
"22","01/07/2008",-0.350667923688889,9
"23","01/07/2008",-0.344065368175507,10
"24","01/07/2008",0.0871511995792389,11
"25","01/07/2009",-0.9985431432724,1
"26","01/07/2009",-0.746492981910706,12
"27","01/07/2009",-0.777251183986664,2
"28","01/07/2009",-0.203991413116455,3
"29","01/07/2009",-0.234104260802269,4
"30","01/07/2009",-0.144024387001991,5
"31","01/07/2009",-0.582924783229828,6
"32","01/07/2009",-0.59133505821228,7
"33","01/07/2009",-1.30438601970673,8
"34","01/07/2009",-1.30438601970673,9
"35","01/07/2009",-1.31461274623871,10
"36","01/07/2009",-0.926919460296631,11
"37","01/07/2010",0.897903144359589,1
"38","01/07/2010",0.864541113376617,12
"39","01/07/2010",0.953803718090057,2
"40","01/07/2010",1.11241710186005,3
"41","01/07/2010",0.993451297283173,4
"42","01/07/2010",1.47927594184875,5
"43","01/07/2010",0.591788411140442,6
"44","01/07/2010",0.330176442861557,7
"45","01/07/2010",-0.0135957170277834,8
"46","01/07/2010",-0.0135957170277834,9
"47","01/07/2010",0.0827603042125702,10
"48","01/07/2010",0.715335011482239,11
"49","01/07/2011",0.510002851486206,1
"50","01/07/2011",0.639967262744904,12
"51","01/07/2011",0.716030359268188,2
"52","01/07/2011",1.18173742294312,3
"53","01/07/2011",1.25245761871338,4
"54","01/07/2011",1.64948976039886,5
"55","01/07/2011",0.85214638710022,6
"56","01/07/2011",1.13096833229065,7
"57","01/07/2011",0.638083934783936,8
"58","01/07/2011",0.638083934783936,9
"59","01/07/2011",0.742862224578857,10
"60","01/07/2011",1.11125934123993,11
"61","01/07/2012",-0.570622563362122,1
"62","01/07/2012",-0.353682160377502,12
"63","01/07/2012",-0.55778968334198,2
"64","01/07/2012",-0.322444051504135,3
"65","01/07/2012",-0.518129110336304,4
"66","01/07/2012",0.291123420000076,5
"67","01/07/2012",-0.964013934135437,6
"68","01/07/2012",-0.942047834396362,7
"69","01/07/2012",-0.263492614030838,8
"70","01/07/2012",-0.263492614030838,9
"71","01/07/2012",-0.0429966598749161,10
"72","01/07/2012",-0.00843239761888981,11
"73","01/07/2013",-0.979796886444092,1
"74","01/07/2013",-0.758017361164093,12
"75","01/07/2013",-0.888030290603638,2
"76","01/07/2013",-0.929113626480103,3
"77","01/07/2013",-0.836064994335175,4
"78","01/07/2013",-0.787822067737579,5
"79","01/07/2013",-0.891039669513702,6
"80","01/07/2013",-0.682471871376038,7
"81","01/07/2013",-0.368446826934814,8
"82","01/07/2013",-0.368446826934814,9
"83","01/07/2013",-0.29145610332489,10
"84","01/07/2013",0.1042250841856,11
"85","01/07/2014",-1.71235299110413,1
"86","01/07/2014",-1.43719935417175,12
"87","01/07/2014",-1.68500936031342,2
"88","01/07/2014",-1.79878914356232,3
"89","01/07/2014",-1.81904125213623,4
"90","01/07/2014",-1.85744953155518,5
"91","01/07/2014",-1.78714179992676,6
"92","01/07/2014",-1.44095611572266,7
"93","01/07/2014",-1.43765187263489,8
"94","01/07/2014",-1.43765187263489,9
"95","01/07/2014",-1.37744677066803,10
"96","01/07/2014",-1.21776401996613,11
"97","01/07/2015",-1.32143545150757,1
"98","01/07/2015",-0.612575829029083,12
"99","01/07/2015",-0.87846302986145,2
"100","01/07/2015",-0.725175499916077,3
"101","01/07/2015",-0.572997868061066,4
"102","01/07/2015",-1.39419627189636,5
"103","01/07/2015",-1.15894889831543,6
"104","01/07/2015",-0.915021002292633,7
"105","01/07/2015",-0.954249262809753,8
"106","01/07/2015",-0.954249262809753,9
"107","01/07/2015",-0.92888617515564,10
"108","01/07/2015",-1.22249329090118,11
"109","01/07/2016",-1.25997924804688,1
"110","01/07/2016",-1.07750999927521,12
"111","01/07/2016",-1.07162654399872,2
"112","01/07/2016",-0.166724696755409,3
"113","01/07/2016",0.0375967063009739,4
"114","01/07/2016",-0.275677919387817,5
"115","01/07/2016",0.287275165319443,6
"116","01/07/2016",0.452547371387482,7
"117","01/07/2016",0.451564759016037,8
"118","01/07/2016",0.451564759016037,9
"119","01/07/2016",0.560627996921539,10
"120","01/07/2016",0.457469403743744,11
