,Site,Year,Latitude,Longitude,Elevation,Decision,MAT.weath,MAP.weath,CMD.weath,MAT.weath.1,MAP.weath.1,CMD.weath.1,log.MAP.weath,log.MAP.weath.1,MAT.clim,MAP.clim,CMD.clim,log.MAP.clim,CMD.anom,MAT.anom,MAP.anom,CMD.anom.1,MAT.anom.1,MAP.anom.1,CMD.clim.s,MAT.clim.s,MAP.clim.s,CMD.weath.s,MAT.weath.s,MAP.weath.s,CMD.anom.s,MAT.anom.s,MAP.anom.s,CMD.anom.1.s,MAT.anom.1.s,MAP.anom.1.s
50,S07,2014,34.28425,-117.375389,1092,Included,15.73333333,23.66666667,1042,14.84166667,31.41666667,987,3.164067588,3.447338538,14.50472222,54.13333333,967.0333333,3.991450139,74.96666667,1.228611111,-0.827382551,19.96666667,0.336944444,-0.544111601,1.083421517,1.229818643,-0.544742777,1.443780882,1.457790731,-1.372926383,1.039994263,0.874598169,-2.284731204,0.251841109,-0.079107777,-1.181645093
62,S07,2015,34.28425,-117.375389,1092,Remove,16.08333333,40.58333333,1014,15.73333333,23.66666667,1042,3.703357473,3.164067588,14.50472222,54.13333333,967.0333333,3.991450139,46.96666667,1.578611111,-0.288092666,74.96666667,1.228611111,-0.827382551,1.083421517,1.229818643,-0.544742777,1.295364246,1.611591141,-0.623490418,0.652105313,1.306409851,-0.370462178,1.003897163,1.074522345,-2.246035074
74,S07,2016,34.28425,-117.375389,1092,Remove,15.34166667,31.75,1017,16.08333333,40.58333333,1014,3.457892725,3.703357473,14.50472222,54.13333333,967.0333333,3.991450139,49.96666667,0.836944444,-0.533557414,46.96666667,1.578611111,-0.288092666,1.083421517,1.229818643,-0.544742777,1.311266028,1.285680749,-0.964605865,0.693664844,0.391380335,-1.241766419,0.621032263,1.527349121,-0.219654495
3,S08,2010,36.69096,-118.909607,1682,Remove,9.466666667,84.5,674,10.41666667,53.5,721,4.436751534,3.979681654,10.06694444,80.78611111,691.4,4.391805059,-17.4,-0.600277778,0.044946476,29.6,0.349722222,-0.412123405,-0.430083154,-0.862389997,0.088701215,-0.506837764,-1.295968985,0.395686654,-0.239577499,-1.381789222,0.811697049,0.383564866,-0.062576006,-0.685699729
15,S08,2011,36.69096,-118.909607,1682,Included,9.641666667,95.58333333,623,9.466666667,84.5,674,4.559998467,4.436751534,10.06694444,80.78611111,691.4,4.391805059,-68.4,-0.425277778,0.168193409,-17.4,-0.600277778,0.044946476,-0.430083154,-0.862389997,0.088701215,-0.777168066,-1.21906878,0.566959445,-0.946089515,-1.165883381,1.249175653,-0.259101217,-1.291677257,1.031739361
27,S08,2012,36.69096,-118.909607,1682,Included,10.06666667,54.33333333,651,9.641666667,95.58333333,623,3.995137912,4.559998467,10.06694444,80.78611111,691.4,4.391805059,-40.4,-0.000277778,-0.396667146,-68.4,-0.425277778,0.168193409,-0.430083154,-0.862389997,0.088701215,-0.62875143,-1.03231114,-0.21801136,-0.558200565,-0.641540625,-0.755859292,-0.956462286,-1.065263868,1.494839446
39,S08,2013,36.69096,-118.909607,1682,Included,10.68333333,45.5,781,10.06666667,54.33333333,651,3.817712326,3.995137912,10.06694444,80.78611111,691.4,4.391805059,89.6,0.616388889,-0.574092733,-40.4,-0.000277778,-0.396667146,-0.430083154,-0.862389997,0.088701215,0.06032581,-0.761329466,-0.4645747,1.242712417,0.119270434,-1.385651012,-0.573597385,-0.515402782,-0.627622872
51,S08,2014,36.69096,-118.909607,1682,Remove,11.325,37.66666667,755,10.68333333,45.5,781,3.62877553,3.817712326,10.06694444,80.78611111,691.4,4.391805059,63.6,1.258055556,-0.763029529,89.6,0.616388889,-0.574092733,-0.430083154,-0.862389997,0.088701215,-0.077489638,-0.479362048,-0.727134844,0.88252982,0.910925184,-2.056303042,1.203989653,0.282434872,-1.294299129
63,S08,2015,36.69096,-118.909607,1682,Unavailable,11.78333333,56.41666667,703,11.325,37.66666667,755,4.032764623,3.62877553,10.06694444,80.78611111,691.4,4.391805059,11.6,1.716388889,-0.359040435,63.6,1.258055556,-0.763029529,-0.430083154,-0.862389997,0.088701215,-0.353120534,-0.27795675,-0.165722579,0.162164628,1.476392862,-0.622299124,0.848472245,1.112617296,-2.004228732
75,S08,2016,36.69096,-118.909607,1682,Unavailable,10.95,83.83333333,675,11.78333333,56.41666667,703,4.428830701,4.032764623,10.06694444,80.78611111,691.4,4.391805059,-16.4,0.883055556,0.037025642,11.6,1.716388889,-0.359040435,-0.430083154,-0.862389997,0.088701215,-0.50153717,-0.644148201,0.384679294,-0.225724322,0.44826981,0.783581175,0.13743743,1.705604741,-0.486240586
4,S10,2010,36.20081,-118.650917,1288,Remove,12.35,74.5,769,13.26666667,46.66666667,847,4.310799125,3.843030134,12.88416667,71.73611111,803.3,4.272994263,-34.3,-0.534166667,0.037804863,43.7,0.3825,-0.429964129,0.184360573,0.465801041,-0.09928195,-0.00328132,-0.028946562,0.220654138,-0.473696187,-1.300224793,0.786347104,0.576364691,-0.020168419,-0.75273621
16,S10,2011,36.20081,-118.650917,1288,Included,12.48333333,81.58333333,723,12.35,74.5,769,4.401624993,4.310799125,12.88416667,71.73611111,803.3,4.272994263,-80.3,-0.400833333,0.12863073,-34.3,-0.534166667,0.037804863,0.184360573,0.465801041,-0.09928195,-0.247108651,0.02964407,0.346872288,-1.110942319,-1.135725105,1.108743555,-0.490187532,-1.20614331,1.004904766
28,S10,2012,36.20081,-118.650917,1288,Included,12.90833333,47.75,740,12.48333333,81.58333333,723,3.865979067,4.401624993,12.88416667,71.73611111,803.3,4.272994263,-63.3,0.024166667,-0.407015196,-80.3,-0.400833333,0.12863073,0.184360573,0.465801041,-0.09928195,-0.15699855,0.21640171,-0.39749977,-0.875438313,-0.611382348,-0.792590836,-1.119179868,-1.033637871,1.346182767
40,S10,2013,36.20081,-118.650917,1288,Included,13.49166667,38.91666667,872,12.90833333,47.75,740,3.661422608,3.865979067,12.88416667,71.73611111,803.3,4.272994263,68.7,0.6075,-0.611571655,-63.3,0.024166667,-0.407015196,0.184360573,0.465801041,-0.09928195,0.542679877,0.472735726,-0.68176612,0.953181022,0.108303788,-1.518686586,-0.886726179,-0.483776785,-0.666505644
52,S10,2014,36.20081,-118.650917,1288,Included,14.14166667,32.66666667,871,13.49166667,38.91666667,872,3.48635519,3.661422608,12.88416667,71.73611111,803.3,4.272994263,67.7,1.2575,-0.786639073,68.7,0.6075,-0.611571655,0.184360573,0.465801041,-0.09928195,0.537379283,0.758365059,-0.92505238,0.939327845,0.910239768,-2.140107727,0.918208352,0.270934509,-1.435126098
64,S10,2015,36.20081,-118.650917,1288,Remove,14.55,50.25,809,14.14166667,32.66666667,871,3.917010547,3.48635519,12.88416667,71.73611111,803.3,4.272994263,5.7,1.665833333,-0.355983716,67.7,1.2575,-0.786639073,0.184360573,0.465801041,-0.09928195,0.208742446,0.93779887,-0.326582759,0.080430885,1.414020064,-0.61144896,0.904534606,1.111898523,-2.092941543
76,S10,2016,36.20081,-118.650917,1288,Remove,13.78333333,67.16666667,800,14.55,50.25,809,4.207177093,3.917010547,12.88416667,71.73611111,803.3,4.272994263,-3.3,0.899166667,-0.06581717,5.7,1.665833333,-0.355983716,0.184360573,0.465801041,-0.09928195,0.161037098,0.600902735,0.076653518,-0.044247706,0.468146856,0.418529252,0.056762326,1.640196429,-0.474754968
5,S11,2010,34.07808,-116.87558,1990,Remove,8.016666667,76.66666667,738,8.891666667,42.66666667,902,4.33946702,3.753417975,8.654444444,65.18333333,763.3666667,4.177203813,-25.36666667,-0.637777778,0.162263208,138.6333333,0.237222222,-0.423785837,-0.034913655,-1.528318949,-0.250842184,-0.167599739,-1.933142111,0.260493104,-0.349941141,-1.428054759,1.228125749,1.87445902,-0.20812747,-0.729521294
17,S11,2011,34.07808,-116.87558,1990,Remove,8.366666667,75.58333333,633,8.016666667,76.66666667,738,4.3252358,4.33946702,8.654444444,65.18333333,763.3666667,4.177203813,-130.3666667,-0.287777778,0.148031988,-25.36666667,-0.637777778,0.162263208,-0.034913655,-1.528318949,-0.250842184,-0.724162124,-1.779341701,0.240716379,-1.804524703,-0.996243077,1.177610462,-0.368035397,-1.340194411,1.472556728
29,S11,2012,34.07808,-116.87558,1990,Unavailable,8.6,46.91666667,614,8.366666667,75.58333333,633,3.848372978,4.3252358,8.654444444,65.18333333,763.3666667,4.177203813,-149.3666667,-0.054444444,-0.328830834,-130.3666667,-0.287777778,0.148031988,-0.034913655,-1.528318949,-0.250842184,-0.824873413,-1.676808095,-0.421966455,-2.067735062,-0.708368623,-0.515066807,-1.803778774,-0.887367635,1.41908295
41,S11,2013,34.07808,-116.87558,1990,Remove,9.025,44.08333333,730,8.6,46.91666667,614,3.786081782,3.848372978,8.654444444,65.18333333,763.3666667,4.177203813,-33.36666667,0.370555556,-0.39112203,-149.3666667,-0.054444444,-0.328830834,-0.034913655,-1.528318949,-0.250842184,-0.210004492,-1.490050455,-0.508530776,-0.460766555,-0.184025867,-0.73617629,-2.063579956,-0.585483117,-0.372728075
53,S11,2014,34.07808,-116.87558,1990,Unavailable,9.9,32.33333333,824,9.025,44.08333333,730,3.47609869,3.786081782,8.654444444,65.18333333,763.3666667,4.177203813,60.63333333,1.245555556,-0.701105123,-33.36666667,0.370555556,-0.39112203,-0.034913655,-1.528318949,-0.250842184,0.288251358,-1.10554943,-0.939305549,0.841432063,0.895503338,-1.836495522,-0.477425368,-0.035622031,-0.60678711
65,S11,2015,34.07808,-116.87558,1990,Remove,10.26666667,56,726,9.9,32.33333333,824,4.025351691,3.47609869,8.654444444,65.18333333,763.3666667,4.177203813,-37.36666667,1.612222222,-0.151852122,60.63333333,1.245555556,-0.701105123,-0.034913655,-1.528318949,-0.250842184,-0.231206869,-0.944425192,-0.176024123,-0.516179262,1.347877481,0.113138685,0.807906797,1.096444911,-1.771547911
77,S11,2016,34.07808,-116.87558,1990,Remove,9.533333333,41.25,766,10.26666667,56,726,3.719651113,4.025351691,8.654444444,65.18333333,763.3666667,4.177203813,2.633333333,0.878888889,-0.4575527,-37.36666667,1.612222222,-0.151852122,-0.034913655,-1.528318949,-0.250842184,-0.019183103,-1.266673669,-0.600847606,0.037947809,0.443129195,-0.97197929,-0.532120354,1.570834867,0.292269055
6,S15,2010,43.37876,-122.952072,1168,Included,9.916666667,227.8333333,251,10.23333333,177.75,336,5.428614367,5.180378069,10.26194444,212.3166667,333.0333333,5.358078871,-82.03333333,-0.345277778,0.070535497,2.966666667,-0.028611111,-0.177700802,-2.397877169,-0.770456443,1.617545527,-2.748989088,-1.098225601,1.774050498,-1.134954492,-1.067183568,0.902528105,0.019387419,-0.552060188,0.195142695
18,S15,2011,43.37876,-122.952072,1168,Unavailable,9.883333333,250.6666667,336,9.916666667,227.8333333,251,5.524124035,5.428614367,10.26194444,212.3166667,333.0333333,5.358078871,2.966666667,-0.378611111,0.166045164,-82.03333333,-0.345277778,0.070535497,-2.397877169,-0.770456443,1.617545527,-2.298438586,-1.112873259,1.906777594,0.042565535,-1.10830849,1.241550222,-1.142881029,-0.961760605,1.127890052
