"","ID_Year","Site_Family1","Order","Family","Block","Drought","Site","Site.Name","Year","Flowering_Date","Experiment_Date","Flower_num","Structure","Wilted","Biomass","W_Mass","D_Mass","Area","SLA","Water_Content","Latitude","Longitude","Site.Lat","Site.1","Year.1","ID.B.D","Stomatal_Conductance","Assimilation","Elevation","MAT.weath","MAP.weath","CMD.weath","MAT.clim","MAP.clim","CMD.clim","CMD.anom","MAT.anom","MAP.anom","CMD.clim.s","MAT.clim.s","MAP.clim.s","CMD.weath.s","MAT.weath.s","MAP.weath.s","CMD.anom.s","MAT.anom.s","MAP.anom.s","Experiment_Date.s","SLA.s","Water_Content.s","Structure.s","Wilted.s","Stomatal_Conductance.s","Assimilation.s"
"1","S02_2010","S02_1",910,1,1,"D","S02","Sweetwater River",2010,202,101,6,1,1,1.76,0.31,0.0676,11.743,173.713017751479,0.218064516129032,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,0.372364337942695,-0.811799300490921,0.0958951563251279,0.435684719197842,0.241611432811846,NA,NA
"2","S02_2010","S02_1",1412,1,2,"D","S02","Sweetwater River",2010,NA,NA,0,0,1,0.66,NA,NA,NA,NA,NA,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,NA,NA,NA,-2.29448714823454,0.241611432811846,NA,NA
"3","S02_2010","S02_1",2582,1,3,"D","S02","Sweetwater River",2010,NA,NA,0,0,1,0.2,NA,NA,NA,NA,NA,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,NA,NA,NA,-2.29448714823454,0.241611432811846,NA,NA
"4","S02_2010","S02_1",2891,1,4,"D","S02","Sweetwater River",2010,201,100,7,1,1,1.79,0.34,0.0621,14.938,240.547504025765,0.182647058823529,32.89928,-116.5849,"32.9_S02","S02",2010,"1_4_D",0.223764572333333,8.414517434,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,0.258432259476552,0.0564566160105236,-0.501852739355144,0.435684719197842,0.241611432811846,-1.16191028541468,-1.04214567972785
"5","S02_2010","S02_1",384,1,1,"W","S02","Sweetwater River",2010,204,103,6,1,NA,1.91,NA,NA,NA,NA,NA,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,0.600228494874982,NA,NA,0.435684719197842,NA,NA,NA
"6","S02_2010","S02_1",724,1,2,"W","S02","Sweetwater River",2010,198,97,11,1,NA,3.98,0.23,0.042,8.728,207.809523809524,0.182608695652174,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,-0.083363975921877,-0.368846945094202,-0.50250020268803,0.435684719197842,NA,NA,NA
"7","S02_2010","S02_1",1777,1,3,"W","S02","Sweetwater River",2010,199,98,10,1,NA,3.46,0.41,0.0829,17.367,209.493365500603,0.20219512195122,32.89928,-116.5849,"32.9_S02","S02",2010,"1_3_W",0.428294545666667,10.7591036133333,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,0.0305681025442661,-0.346971928284296,-0.171935955707708,0.435684719197842,NA,-0.151811257094177,-0.411225904383239
"8","S02_2010","S02_1",1964,1,4,"W","S02","Sweetwater River",2010,205,104,9,1,NA,3.47,0.57,0.0884,24.845,281.052036199095,0.155087719298246,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,0.714160573341125,0.582656511679473,-0.966977524160546,0.435684719197842,NA,NA,NA
"9","S02_2010","S02_2",1003,2,1,"D","S02","Sweetwater River",2010,NA,NA,0,0,1,0.98,0.26,0.0475,11.252,236.884210526316,0.182692307692308,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,NA,0.00886627108403429,-0.501089064654817,-2.29448714823454,0.241611432811846,NA,NA
"10","S02_2010","S02_2",1319,2,2,"D","S02","Sweetwater River",2010,198,97,5,1,1,2.02,NA,NA,NA,NA,NA,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,-0.083363975921877,NA,NA,0.435684719197842,0.241611432811846,NA,NA
"11","S02_2010","S02_2",2572,2,3,"D","S02","Sweetwater River",2010,189,88,12,1,1,3.09,0.31,0.0547,11.196,204.680073126143,0.176451612903226,32.89928,-116.5849,"32.9_S02","S02",2010,"2_3_D",0.424098097,9.42968414566667,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,-1.10875268211716,-0.409502065268151,-0.606414586630584,0.435684719197842,0.241611432811846,-0.172535988298677,-0.768967939746383
"12","S02_2010","S02_2",2972,2,4,"D","S02","Sweetwater River",2010,NA,NA,0,1,1,0.5,0.16,0.0259,11.506,444.247104247104,0.161875,32.89928,-116.5849,"32.9_S02","S02",2010,"2_4_D",0.57105562125,12.26685716325,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,NA,2.70274587385441,-0.852427156474082,0.435684719197842,0.241611432811846,0.553233687558993,-0.00549480378494604
"13","S02_2010","S02_2",241,2,1,"W","S02","Sweetwater River",2010,210,109,2,1,NA,2.28,NA,NA,NA,NA,NA,32.89928,-116.5849,"32.9_S02",NA,NA,NA,NA,NA,1168,13.6,918,879,14,625,945,66,0.4,-293,1.29246283409204,0.980777844929948,-0.78997806315374,0.586683610516039,0.492768814348498,-0.094540372034726,1.57053518193318,1.19106490061649,-1.1218642722747,1.28382096567184,NA,NA,0.435684719197842,NA,NA,NA
