"","ID_Year","Site","Year","Drought","PC1","PC2","PC3","PC4","PC5","PC6"
"1","S02_2010","S02",2010,"W",-0.867675226584865,-0.0364402826433829,1.07002566631296,0.146898611920711,-0.0217210702757209,0.272958654178211
"2","S02_2011","S02",2011,"W",-0.384735569734156,-0.484026448389073,0.745210969084189,0.148909267293336,0.0497667350745568,0.176783582394758
"3","S02_2012","S02",2012,"W",0.31707347888087,-0.441802717183224,0.90569743257122,0.23892274966932,0.055420746077479,0.39461023663129
"4","S02_2013","S02",2013,"W",0.918071313547279,-0.0111858643895534,0.338117901763944,0.657011812280688,-0.222426086790439,0.448339744362824
"5","S02_2014","S02",2014,"W",-0.157920104376054,-0.266104345447268,0.62043711463713,0.280835009568462,-0.497135176601487,0.486080924621479
"6","S07_2010","S07",2010,"W",0.802411547427422,0.782699719373081,0.0664376339206405,0.307864318295354,0.476845331387932,0.366161448079455
"7","S07_2011","S07",2011,"W",0.886233045685983,-0.0643471400463662,-0.0424036155989687,0.257932547846836,-0.231370204619818,0.498028454202328
"8","S07_2014","S07",2014,"W",-0.160063062306988,-0.462321838693014,0.650509297862382,0.00096518875432805,0.232955605401597,0.292668712901768
"9","S07_2015","S07",2015,"W",-0.0796436350181764,-0.412902360187938,0.0878428755463048,0.227111796708252,-0.433509347569189,0.535381869989076
"10","S07_2016","S07",2016,"W",0.313477958892656,0.310160261644489,0.443633132482595,-0.100600942514974,-0.167431535200325,0.142549755717491
"11","S08_2011","S08",2011,"W",-0.130619564932499,-0.126322981598283,1.17159753940456,-0.263595321776584,-0.423013594873271,-0.0423999075990152
"12","S08_2012","S08",2012,"W",0.377067575394826,-0.170566398930824,1.04434446087828,-0.668138103384349,-0.568735797917901,-0.0678372342486784
"13","S08_2013","S08",2013,"W",-0.0379937101775834,-0.465495598097423,0.973386208803557,-0.729346203714153,-0.143170618566269,-0.244091889227875
"14","S08_2014","S08",2014,"W",1.90396850839208,0.539089441088765,0.640336171140847,-0.522121227959714,-0.659113644817722,-0.178066601722465
"15","S10_2010","S10",2010,"W",-0.893109681156077,-0.131514770639366,0.987507798746629,-0.323921508939071,-0.434468546354762,-0.119508237696662
"16","S10_2011","S10",2011,"W",-0.66405626646905,0.489695711844589,0.93910970147283,-0.215659606102915,-0.517544763162878,-0.0153525072852295
"17","S10_2012","S10",2012,"W",0.604031709693847,0.258390818301584,0.252217066927303,-0.138237580156289,-0.309946160914618,-0.130157939943251
"18","S10_2013","S10",2013,"W",0.104982723776111,-0.137209174948494,0.722086776516394,-0.58236717965669,-0.0595812279937354,-0.182142018296392
"19","S10_2014","S10",2014,"W",-0.206947517188797,0.41619591135909,0.991983041625854,-0.158682539163804,-0.601664234382929,-0.0382595386282248
"20","S10_2015","S10",2015,"W",0.406534480893715,-0.128831767688663,0.416922711187985,-0.248967144887388,-0.270477278863283,-0.195665384715918
"21","S10_2016","S10",2016,"W",1.74540983750114,-0.329663480593625,0.84671782509694,-0.271662268368605,-0.481560932639704,-0.232188898392162
"22","S11_2010","S11",2010,"W",-0.0459125202274619,-0.72994065359109,-0.379425715141822,-0.14508486574351,0.55343879266383,0.120935842239858
"23","S11_2011","S11",2011,"W",0.207500224790928,-1.03816381748819,-0.593766447695899,0.0205505933126978,0.0801409356309068,0.512772217874272
"24","S11_2013","S11",2013,"W",0.0978584013298614,-1.10090056642016,-0.557281461547817,-0.136948506023062,0.470611110393948,0.120324982835689
"25","S11_2015","S11",2015,"W",-0.0770283004269429,-1.07459110955814,-0.791477471371022,0.0902375120156095,0.25924557393307,0.244395702894883
"26","S11_2016","S11",2016,"W",0.092902853847214,-0.636463663594241,-0.794585598177662,-0.0501436546633356,0.577999599172922,0.541610241602706
"27","S15_2010","S15",2010,"W",0.581457313617642,-0.05490945681965,0.261794844856169,-0.0273056135351853,0.338312430287328,-0.0105221539703095
"28","S15_2012","S15",2012,"W",-0.145682991120131,0.0628440598301813,0.525945576308532,-0.424023061461019,0.389611451604403,-0.0314156286870936
"29","S15_2014","S15",2014,"W",-1.47107704557601,-0.512444651290709,0.137381490267767,-0.213527284214003,-0.0569603482527872,-0.221972110633736
"30","S15_2015","S15",2015,"W",-0.860735746647192,-0.0468510945838471,0.406264553411147,-0.107824024905143,0.47537455630744,-0.112328943016408
"31","S15_2016","S15",2016,"W",-0.36692504241833,0.0435540315476229,0.0555512728585802,-0.158554835709692,0.0742114950380861,0.13986425163623
"32","S16_2010","S16",2010,"W",0.183956147053723,-0.400202478562451,0.345478766407574,0.139454442170308,-0.0142831042614664,0.084060879120743
"33","S16_2012","S16",2012,"W",-0.227189555683894,0.32215007532335,0.323839851057154,0.20691083232617,-0.098758767035682,0.246950834959772
"34","S16_2013","S16",2013,"W",-0.29189395967994,-0.481712299148814,0.0567367478362419,-0.451891659198614,0.722441705802701,0.166721777351801
"35","S16_2014","S16",2014,"W",0.110371036075472,-0.326644643092248,0.259287871833894,-0.288664471024719,-0.185226511846003,-0.307129737373137
"36","S16_2015","S16",2015,"W",0.262819894489009,-0.175396858987747,0.0288857130717909,-0.253915605063974,0.0878897574256456,0.257376678295008
"37","S16_2016","S16",2016,"W",0.351533509200453,0.164571068576442,0.351625719628202,-0.468676899337009,-0.0222876049235917,0.120902661636155
"38","S17_2011","S17",2011,"W",-0.0705158953477575,0.499532340351247,0.71972313525497,-0.372668297794045,0.31968454986511,0.210728729738841
"39","S17_2014","S17",2014,"W",0.346309545161514,0.521545325682694,0.289732003116712,-0.384422132672885,0.2081444929814,0.535482634575921
"40","S17_2015","S17",2015,"W",0.03938107672341,-0.103588757881558,1.07424071807302,-0.146140450159694,0.549908358328914,0.190338572453705
"41","S17_2016","S17",2016,"W",0.736542312244735,-0.373032550652408,0.382989953439348,-0.437410570297769,0.222514145991846,0.129268648029346
"42","S18_2010","S18",2010,"W",0.509929399288607,-0.443111466784941,1.10569523661635,-0.748211073396474,-0.237960782124121,-0.0954099276536127
