"SLA","Date of Flowering","Water Content","Assimilation","Stomatal Conductance"
"lag 0",25491.6683218852,20073.8261708035,-7233.56909291635,6716.43340190289,-621.052493170675
"lag 1",25493.4966612529,20071.2799614207,-7232.87887334561,6716.46062229469,-618.429841768356
"lag 2",25491.256573181,20070.9390706174,-7238.71213378624,6714.85584818209,-620.488488411847
"lag 0,1",25493.6743784213,20071.69368938,-7234.16553558196,6715.41267862767,-619.569915462917
"lag 0,1,2",25491.3845543002,20071.4191303854,-7237.26882489522,6715.36076569224,-620.142679211783
