"","Site","Site.Lat","Flowering_Dry","Flowering_Wet","Water_Content_Dry","Water_Content_Wet","SLA_Dry","SLA_Wet","Stomatal_Conductance_Dry","Stomatal_Conductance_Wet","Assimilation_Dry","Assimilation_Wet","Biomass_Dry","Biomass_Wet"
"1","S02","32.9_S02",0.066598558824208,-0.077074690864133,-0.0001091139707358,-0.00153880256324688,-1.8205397478223,3.2394156688604,0.000310479592178145,0.0154502331689591,0.190308904332628,-0.816230385424687,-0.0191802852402655,-0.000225396281912955
"2","S07","34.3_S07",0.0324939548184951,0.122557415708015,-0.00234024821682805,-0.00290096604857451,10.6845962249106,4.29829258082526,0.0138694258138701,-0.0279641160572211,-0.675107331542022,0.797367994428015,0.0173207558275066,-0.119558380141413
"3","S08","36.7_S08",0.0472874847900186,0.28928312456358,0.0033024584451916,-0.00258298496476176,-12.384491634149,4.85056415206793,0.0186089455896172,0.0327296718351957,0.104904088742975,0.92081376640738,-0.0240157110880321,-0.0512854151547877
"4","S10","36.2_S10",0.0845608270155313,0.210065490964002,-0.0104698684056399,-0.000150375352866575,12.3938862737516,0.904243317446027,-0.019554534292531,0.00304085591708656,0.778112280999204,0.210465369177163,0.00724326745430645,-0.0382158862657733
"5","S11","34.1_S11",-0.031089478343275,-0.0417724227793693,0.000788922241551824,0.000801591899092261,0.925664608394612,-3.37648836705733,-0.045855232956814,-0.0312479194783498,-0.216334694686007,0.648369308853,-0.0423077219727598,-0.0074059972533961
"6","S15","43.4_S15",0.180845241708209,0.174369798374868,0.00285062854596737,0.0137309978292819,9.50124841704106,-24.3461328415415,-0.00116300135027695,0.0157580176957626,0.308343219504566,0.664404306465582,0.0400905652149909,-0.0497893829221297
"7","S16","41.8_S16",0.134603178692691,-0.0967775209255851,0.0194266219288365,0.0133668626482802,-31.2504499294468,-6.03111586264349,-0.0797711774943565,-0.0718162432367054,-1.18328203476027,-1.17582821008621,0.184169774008683,-0.0280229374309067
"8","S17","41.7_S17",0.160579463166322,0.269027101805436,-0.00110218832842921,-0.012999062808583,0.984445227280808,12.3753134705657,-0.0303547091910627,-0.0429750468067401,0.0567014761421504,0.0308294199596328,0.119393593108202,0.113973506875911
"9","S18","39.7_S18",-0.0553133363021218,-0.0152956600960351,-0.00710587402249456,0.00481333968272083,12.9750319516234,-9.73973803472581,0.0064848953367433,0.0369712402535185,0.075836985541694,0.684507402158407,0.0672808544120148,0.193042315651442
"10","S29","39.4_S29",0.0144151435336044,0.0392344798003946,0.00242348872036445,0.00515471844229164,-5.23139564536877,-4.76918625166563,-0.00872071034919228,-0.0226364016233287,0.21476740252542,-0.230806263875919,0.0594034659548477,-0.184135363560133
"11","S32","37.5_S32",0.118945372571012,0.0944049688656745,-0.00374095355198121,-0.00520695306650792,5.61034681130941,7.53443171097332,0.0222737566600154,-0.00384889865201238,0.192303373193765,-0.544960698863439,-0.11303399982617,-0.0210085310206187
"12","S36","42.3_S36",0.00603566012564646,0.20110774035832,-0.00201261568242148,-0.00935986336741257,-3.76169073442238,10.0446022285322,-0.0174361063539704,0.0183020332496834,0.100468577551169,0.59429307212304,-0.0290636521013115,-0.143001904418095
