SiteNum,SiteName,Lat,Long,2010,2011,2012,2013,2014,2015,2016
13,Hauser Creek,32.6582,-116.5324,21,10,NA,3,NA,NA,NA
14,Kitchen Creek,32.7521,-116.4522,21,10,NA,NA,NA,NA,2
NA,Cottonwood Creek,32.8012,-116.5019,39,NA,NA,NA,NA,NA,NA
2,Sweetwater River,32.8993,-116.5849,16,9,8,6,10,1,NA
NA,Chariot Canyon,33.0360,-116.5362,7,NA,NA,NA,NA,NA,NA
NA,Hemet Lake,33.6712,-116.6780,31,NA,NA,NA,NA,NA,NA
12,Whitewater Canyon,33.9933,-116.6627,30,10,6,NA,NA,NA,NA
NA,Arroyo Sequit,34.0651,-118.9328,5,NA,NA,NA,NA,NA,NA
11,Mill Creek,34.0781,-116.8756,30,11,NA,10,NA,6,5
7,West Fork Mojave River,34.2843,-117.3754,18,11,NA,NA,18,7,10
NA,Tributary WF Mjojave,34.2850,-117.3786,5,NA,NA,NA,NA,NA,NA
NA,Manzana Creek,34.7717,-119.9436,2,NA,NA,NA,NA,NA,NA
3,South Fork Middle Fork Tule,36.1377,-118.5740,NA,NA,7,7,11,6,10
10,North Fork Middle Fork Tule,36.2008,-118.6509,10,5,6,5,11,10,11
9,Paradise Creek,36.5178,-118.7588,14,2,NA,2,NA,NA,NA
8,Redwood Creek,36.6910,-118.9096,14,6,12,7,5,NA,NA
NA,Baker Creek,37.1576,-118.3334,6,NA,NA,NA,NA,NA,NA
32,Wawona,37.5390,-119.6540,11,NA,10,NA,12,9,10
31,Buck Meadows,37.7770,-120.0640,2,NA,NA,NA,3,NA,3
1,Carlon,37.8150,-119.8660,7,NA,4,NA,9,3,4
35,Rainbow Pool,37.8188,-120.0074,1,NA,3,NA,3,1,1
NA,Fivemile Creek,38.0664,-120.3537,1,NA,NA,NA,NA,NA,NA
NA,Sourgrass Rec Area,38.3872,-120.2105,16,NA,NA,NA,NA,NA,NA
29,Oregon Creek,39.3944,-121.0830,30,NA,10,4,9,4,4
30,Willow Creek,39.4579,-121.0618,NA,NA,3,NA,5,NA,NA
20,Fiddle Creek,39.5204,-120.9982,3,NA,1,NA,3,NA,NA
28,NA,39.5538,-120.9879,24,NA,NA,NA,NA,NA,NA
21,Little North Fork Middle Fork Feather,39.7121,-121.2749,7,NA,2,6,7,5,2
18,Little Jameson Creek,39.7430,-120.7040,8,4,10,22,9,NA,10
17,Deep Creek,41.6655,-123.1134,4,6,3,NA,10,10,10
16,O'Neil Creek,41.8098,-123.1189,21,NA,6,NA,NA,NA,10
36,Deer Creek,42.2741,-123.6362,NA,9,11,NA,NA,11,10
15,Rock Creek,43.3788,-122.9521,22,NA,3,NA,10,10,21
16,Canton Creek,43.4137,-122.7804,1,NA,NA,5,NA,NA,NA
NA,Susan Creek,43.4137,-122.7804,2,NA,NA,NA,NA,NA,NA
25,Coast Fork,43.6485,-123.0837,NA,NA,NA,NA,10,2,10
