ID,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12
S02,Sweetwater River,32.89928,-116.5849,1168,13.5,17.4,12.2,18.4,21.5,25.6,30.2,30.9,29.1,25.5,18.5,13.2,.9,1.8,.6,3.3,4.7,7.5,11.8,12.5,11.1,8.4,3.6,2.2,7.2,9.6,6.4,10.8,13.1,16.5,21,21.7,20.1,16.9,11.1,7.7,81,150,420,5,2,2,13,12,12,23,9,142,13.2,15.9,18,24.8,26.2,27.4,26.9,24.8,21.8,18.3,15.5,12.3,11,5,11,1,0,0,0,0,0,0,2,9,83,135,65,177,255,346,496,517,453,370,186,99,339,231,361,220,164,70,9,8,26,69,208,316,0,0,0,1,5,26,103,120,89,27,1,0,17,18,17,24,27,29,31,31,30,30,24,21,1,1,10,0,0,0,0,0,0,0,0,1,49,68,71,111,144,166,192,181,143,105,62,45,0,0,0,106,141,164,178,168,130,83,53,19,59,52,62,54,50,48,49,49,49,51,54,56
S07,West Fork Mojave River,34.28425,-117.375389,1092,13.1,17.6,13,18.5,22,25.4,30,29.9,28.6,24.5,19.2,13.3,2,3.8,.9,4.7,6,8.9,13.7,13.8,13.4,10.3,5.1,2.8,7.5,10.7,6.9,11.6,14,17.2,21.9,21.9,21,17.4,12.2,8.1,75,173,335,4,3,2,8,3,6,25,4,119,9.4,12.9,15.4,22.8,25.8,27.1,26.5,23.8,19.6,15.1,11.5,8.5,10,4,10,1,0,0,0,0,0,0,1,8,90,162,75,198,282,364,523,522,479,383,217,107,329,201,345,200,139,58,6,7,20,61,182,306,0,1,0,2,8,34,124,124,109,32,2,0,20,23,18,26,29,30,31,31,30,31,26,23,1,0,6,0,0,0,0,0,0,0,0,1,44,63,72,107,143,160,183,167,131,94,60,42,0,0,0,104,141,158,175,164,124,68,55,31,64,57,61,57,52,52,54,55,56,58,57,59
S08,Redwood Creek,36.69096,-118.909607,1682,10.1,13.2,6.5,11.5,15.4,21.7,28,25.9,26.4,21.4,14.1,10,-4.2,-2.6,-3.5,-1.1,2.6,7,12.8,11,10.6,6.4,.1,-3.5,2.9,5.3,1.5,5.2,9,14.4,20.4,18.5,18.5,13.9,7.1,3.3,26,65,477,11,11,6,1,2,7,86,17,132,11.3,14.8,17.9,24.8,28,30.5,29.9,27.5,24,19.1,14.3,10.6,33,16,44,10,1,0,0,0,0,0,6,29,21,41,12,46,134,280,477,418,405,277,81,24,470,352,514,384,279,120,13,33,43,142,327,454,0,0,0,0,1,10,88,48,58,7,0,0,6,7,6,11,22,29,31,31,30,29,15,6,2,2,168,1,1,0,0,0,0,0,1,9,37,51,49,78,106,138,167,143,120,82,45,30,11,0,0,67,95,131,166,141,112,0,28,0,52,49,64,58,59,56,56,56,54,55,55,48
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,10.5,14.9,8.9,14.9,18.9,25.1,31.1,28.9,29.2,24.1,15.6,11,-.6,1.2,.1,2.5,5.1,9.8,15.7,13.6,13.6,9.4,3.2,-.1,5,8.1,4.5,8.7,12,17.4,23.4,21.3,21.4,16.7,9.4,5.5,35,56,491,6,7,5,1,0,5,57,9,133,10.5,14.1,17.6,24.4,27.8,30.1,28.9,26.4,22.4,17.8,13.2,10.1,20,8,20,3,0,0,0,0,0,0,3,16,41,96,34,118,218,372,568,504,491,364,138,51,408,274,422,280,194,54,3,10,17,73,259,386,0,0,0,0,3,37,168,110,118,25,0,0,13,17,15,22,28,30,31,31,30,31,23,15,1,0,37,0,0,0,0,0,0,0,0,3,36,54,53,89,123,154,182,157,129,89,47,31,1,0,0,83,116,149,181,157,125,33,38,5,63,56,70,60,57,55,57,56,55,56,61,59
S11,Mill Creek,34.07808,-116.87558,1990,7.9,11.9,6.8,13.3,16.6,20.2,24.4,24.1,22.8,20.2,13.5,8.1,-5.1,-3.8,-6.1,-2.2,0,3.7,8.7,8.5,6.6,3.5,-2,-4,1.4,4.1,.4,5.5,8.3,12,16.5,16.3,14.7,11.8,5.8,2.1,81,208,448,5,3,1,26,7,14,37,7,165,15.6,18.2,20.1,26.1,28.6,29.8,29.3,27.2,24.8,21.5,18.1,14.4,49,22,60,9,1,0,0,0,0,1,10,39,12,27,8,51,115,210,358,350,293,214,56,15,518,386,549,375,300,182,64,73,114,196,368,491,0,0,0,0,1,3,18,19,17,3,0,0,4,5,2,8,14,26,31,31,28,24,9,6,12,13,237,1,0,0,0,0,0,0,0,18,36,52,55,91,120,136,156,142,114,86,50,34,0,0,0,85,117,135,130,134,100,50,43,18,54,48,54,50,49,50,54,54,52,50,50,48
S15,Rock Creek,43.37876,-122.952072,1168,7.6,12.5,8.3,11,14.3,19.1,27.4,26.7,27,19.4,11,8.2,-2,2.9,-.2,1.5,4,7,11.5,11.6,10.5,5.2,4.1,1.4,2.8,7.7,4.1,6.3,9.1,13,19.5,19.2,18.7,12.3,7.5,4.8,193,186,440,225,208,62,42,23,5,162,453,234,5.4,7.9,11.2,14.7,19.3,23.8,25,20.2,17.2,9.9,4.6,3.9,35,8,22,7,1,0,0,0,0,1,6,19,19,88,30,63,136,240,449,439,411,230,90,41,474,284,434,353,276,149,19,25,40,184,315,407,0,1,1,1,3,5,65,62,61,8,1,0,10,21,14,19,26,29,31,31,30,27,25,19,17,2,42,17,9,0,0,0,0,0,12,8,22,35,43,64,90,114,158,135,107,61,24,16,0,0,0,0,0,52,117,112,102,0,0,0,66,68,71,68,67,62,54,56,53,56,77,71
S16,O'Neil Creek,41.80979,-123.118874,1092,8.6,13.1,9.4,13.3,16.7,22.6,30.4,29.1,29.1,21.4,12.6,8.1,-2.8,.9,-1,.9,3.5,6.8,13.6,12.9,10.7,6.2,2.7,-.1,2.9,7,4.2,7.1,10.1,14.7,22,21,19.9,13.8,7.7,4,70,79,172,49,57,19,22,15,12,35,110,74,6.8,9.5,13.2,17.4,21.7,26.2,25.7,21.2,18.6,12.7,7.2,5.7,34,10,21,5,0,0,0,0,0,0,5,24,20,71,32,80,165,290,527,496,446,274,94,31,472,305,429,327,239,112,6,11,28,145,310,431,0,1,1,2,4,12,126,104,84,13,1,0,8,16,12,17,25,29,31,31,30,29,22,15,6,1,15,2,1,0,0,0,0,0,3,4,26,40,50,77,107,139,176,150,121,70,31,19,0,0,0,28,50,120,154,135,109,35,0,0,60,60,65,60,58,53,53,54,49,54,68,62
S17,Deep Creek,41.66546,-123.113411,680,8.7,14.3,11.5,16.6,20.2,26.2,34.2,32.5,32.2,24.6,13.9,8.2,-3.6,.6,-.3,2,4.2,7.8,14.5,13.4,10.6,5.9,2.5,-.8,2.6,7.5,5.6,9.3,12.2,17,24.3,22.9,21.4,15.3,8.2,3.7,11,7,8,6,25,13,26,9,5,6,23,10,7.7,10.3,14,18,22,26.4,25.9,21.9,19.8,14.1,8.6,6.9,37,9,14,2,0,0,0,0,0,0,4,26,18,82,50,134,228,359,598,555,491,319,105,28,481,291,387,263,188,62,2,4,17,106,296,441,0,1,1,4,9,31,197,155,118,22,2,0,7,15,14,20,26,29,31,31,30,28,21,13,1,0,0,0,0,0,0,0,0,0,0,1,27,44,57,92,127,161,202,171,136,81,34,0,16,37,49,86,101,148,177,163,132,75,11,0,57,56,61,54,52,47,47,48,42,46,63,60
S18,Little Jameson Creek,39.74298,-120.70401,1593,8.1,12,6,12.3,15.4,21.7,28.9,26.5,26.9,21.6,12.5,8.3,-6.3,-3.3,-4.9,-2.5,.4,4.5,10.1,8.3,7,4.2,-.9,-3.9,.9,4.4,.5,4.9,7.9,13.1,19.5,17.4,16.9,12.9,5.8,2.2,17,87,507,51,62,40,16,15,12,63,80,113,9.3,11.7,14.8,20.1,23.3,28.2,28.4,24.6,21.5,15.7,10.8,7.7,55,21,57,11,1,0,0,0,0,0,10,38,10,30,8,42,103,242,449,384,358,246,57,16,532,378,543,393,315,148,19,51,67,169,366,488,0,0,0,0,0,5,66,31,36,4,0,0,3,6,4,7,15,27,31,31,28,26,12,6,3,5,254,8,5,0,0,0,0,0,4,12,29,44,45,80,107,140,178,148,121,77,37,0,12,0,0,28,44,100,162,133,108,14,0,0,50,50,60,52,53,49,47,48,44,48,56,49
S29,Oregon Creek,39.39442,-121.083023,440,15.1,19.2,13.3,19.2,22.2,28.7,35.9,33.3,34.3,29,20.3,14.8,0,4,2.5,4.8,7,10.5,16.1,13.8,13.4,10.3,4.5,1.5,7.6,11.6,7.9,12,14.6,19.6,26,23.6,23.9,19.6,12.4,8.2,24,112,574,61,45,29,3,5,5,69,64,154,6.8,9.7,13.6,19.9,23.2,28,28.4,24.2,20.4,14.1,8.8,6,10,3,7,1,0,0,0,0,0,0,1,8,91,182,99,207,301,438,650,574,564,452,223,110,328,184,315,190,122,25,1,3,8,31,176,302,0,1,0,3,10,75,249,174,175,73,2,0,15,23,22,27,30,30,31,31,30,31,25,19,0,0,5,0,0,0,0,0,0,0,0,1,41,59,63,103,136,174,215,181,149,99,52,33,17,0,0,42,91,145,211,177,144,30,0,0,52,53,65,56,54,49,47,47,44,48,52,52
