ID,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12
S02,Sweetwater River,32.89928,-116.5849,1168,13.2,12,14.8,16.7,23.5,28,30.4,30.5,28.8,22.9,17.3,12.5,1.5,.3,2.9,2.7,7.6,9.6,12.6,13.3,11.1,8,5.4,1,7.4,6.2,8.8,9.7,15.6,18.8,21.5,21.9,19.9,15.5,11.4,6.8,136,184,77,38,5,2,3,12,1,2,36,30,13,14.5,19.9,24,26.7,28,26.1,25.4,22.6,17.9,13.8,12.5,10,13,5,2,0,0,0,0,0,0,1,12,87,55,124,145,329,413,511,524,448,326,194,76,334,328,287,251,98,34,7,7,27,100,201,346,0,0,0,1,16,60,115,125,85,14,1,0,19,14,23,22,30,30,31,31,30,30,27,18,2,4,0,0,0,0,0,0,0,0,0,0,47,51,79,103,151,178,191,176,141,94,56,49,0,0,2,64,146,176,188,163,139,92,20,45,62,61,62,56,53,48,50,52,50,56,62,58
S07,West Fork Mojave River,34.28425,-117.375389,1092,12.9,12,15.8,16.7,24.8,28.3,30.4,30,27.9,21.6,17,12.3,1.6,1.2,3.8,3.6,8.8,10.8,14.1,14.4,12.7,9.7,6.6,2,7.3,6.6,9.8,10.2,16.8,19.5,22.2,22.2,20.3,15.6,11.8,7.1,169,245,56,56,6,4,6,1,1,5,54,52,9,11.1,17.6,22.1,26,28.2,25.7,24.6,20.2,14.5,9.6,7.9,11,11,4,2,0,0,0,0,0,0,1,10,85,63,152,158,367,435,534,533,459,331,204,84,337,315,257,236,70,26,5,6,24,97,192,334,0,0,0,1,27,73,133,132,93,16,2,0,19,17,25,24,30,30,31,31,30,31,28,21,3,4,0,0,0,0,0,0,0,0,0,1,44,48,80,99,156,176,185,166,129,82,51,44,0,0,24,43,150,172,179,165,127,76,0,42,63,64,62,59,53,50,54,56,56,64,67,61
S08,Redwood Creek,36.69096,-118.909607,1682,8.5,6.9,11.1,10.6,21.4,24.5,26.4,27,24.2,18.7,12.7,8.1,-4,-4.3,-.3,-.6,7.1,9.3,11.8,11.9,9,5.1,1.9,-2,2.2,1.3,5.4,5,14.2,16.9,19.1,19.4,16.6,11.9,7.3,3.1,266,196,104,118,12,2,11,1,4,16,165,194,10.6,13.1,19.8,23.9,28.2,31.3,28.9,28.1,24.1,18.2,12.8,9.2,40,45,15,11,0,0,0,0,0,1,6,31,16,9,46,43,289,356,437,447,349,216,85,22,491,464,394,391,132,64,23,22,73,195,321,460,0,0,0,0,9,30,57,67,32,3,0,0,6,4,14,12,30,30,31,31,29,27,20,10,29,41,5,17,0,0,0,0,0,0,5,14,34,36,62,73,133,151,158,148,111,73,40,33,0,0,0,0,121,149,147,147,107,56,0,26,56,60,62,62,57,55,57,56,55,58,65,58
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,9.5,8.6,12.8,14,24.1,27.7,29.4,29.5,26.6,21,14.1,9.3,-.4,-.6,3.3,3,9.4,11.7,14.7,14.5,11.7,8.4,5.3,1.6,4.6,4,8,8.5,16.8,19.7,22.1,22,19.1,14.7,9.7,5.5,273,216,88,115,10,1,9,0,1,12,128,149,9.8,12.4,19.6,23.5,27.9,30.9,28,26.9,22.7,16.8,11.5,8.8,22,22,7,3,0,0,0,0,0,0,3,16,36,26,102,113,366,440,529,526,424,302,146,51,420,387,312,286,71,24,6,7,35,120,251,386,0,0,0,0,26,77,128,126,69,10,0,0,14,12,24,23,31,30,31,31,30,30,27,20,13,13,1,2,0,0,0,0,0,0,1,4,34,38,64,83,147,167,172,159,119,77,40,34,0,0,0,0,137,166,164,158,118,65,0,30,67,68,69,64,56,54,58,57,57,62,71,66
S11,Mill Creek,34.07808,-116.87558,1990,7.5,6.3,9.6,11.6,19.4,23,24.7,24.3,22.5,17.3,11.6,7.1,-5.1,-6,-3.2,-2.9,3,5.9,9.4,9.2,6.4,3,-.3,-5,1.2,.2,3.2,4.3,11.2,14.5,17.1,16.8,14.5,10.1,5.7,1,160,247,69,66,8,3,15,7,2,5,59,51,15.2,16.4,22.1,25.1,28.8,30.7,28.5,28,25.4,20.9,16.3,14.1,52,59,28,14,0,0,0,0,0,1,10,51,11,6,22,35,196,284,375,365,285,169,54,10,523,496,461,410,215,117,52,63,121,244,370,523,0,0,0,0,2,11,24,24,15,1,0,0,4,3,6,6,24,28,31,31,28,23,14,4,25,78,11,14,0,0,0,0,0,0,3,8,36,38,63,83,132,151,156,141,112,75,43,37,0,0,0,17,124,148,141,134,111,71,0,34,55,55,56,52,50,50,55,55,52,55,61,53
S15,Rock Creek,43.37876,-122.952072,1168,7.9,7.7,10.2,10.8,19.7,19.5,24.8,26,23.4,16.5,10.9,8.3,-.5,-.7,.8,1,4.3,7.7,10.8,12.1,10.9,6,3.1,1.8,3.7,3.5,5.5,5.9,12,13.6,17.8,19,17.2,11.2,7,5,119,113,185,167,79,93,32,16,53,165,506,541,5,8.1,11.6,14.7,20.3,21.6,24.6,20.9,15.9,8.6,4.3,3.7,28,26,15,8,0,0,0,0,0,1,7,18,27,22,49,56,218,257,398,435,365,198,78,44,447,402,389,364,194,137,39,27,63,212,331,399,1,0,1,1,8,7,34,59,38,5,1,0,14,12,17,17,26,29,31,31,30,28,23,20,8,9,8,15,1,0,0,0,0,0,16,17,21,27,48,64,122,115,143,129,89,51,25,18,0,0,0,0,43,22,111,113,36,0,0,0,71,71,69,67,53,63,58,59,62,67,74,77
S16,O'Neil Creek,41.80979,-123.118874,1092,8,8,12.1,12.5,23.1,23.7,28.4,29.1,25.8,18.4,12.3,7.9,-2.1,-1.7,.4,.5,5.1,8.7,12.9,13.9,11,6.1,2.6,1.1,3,3.1,6.2,6.5,14.1,16.2,20.6,21.5,18.4,12.3,7.5,4.5,61,72,76,45,19,31,8,3,27,23,230,249,6.5,9.7,14.1,17.4,23,23.9,25.3,21.8,17.6,11.3,6.4,5.2,33,28,12,6,0,0,0,0,0,1,6,21,21,19,61,68,286,335,484,511,401,228,89,37,468,412,367,345,135,78,11,9,44,186,316,416,0,0,1,2,16,23,94,116,56,7,1,0,10,9,16,16,28,30,31,31,30,29,22,18,5,7,2,3,0,0,0,0,0,0,6,10,25,31,58,75,143,142,163,147,104,60,30,20,0,0,0,29,124,111,156,144,77,37,0,0,65,66,62,61,47,56,56,57,57,62,68,73
S17,Deep Creek,41.66546,-123.113411,680,8.1,9.2,14.2,15.7,26.5,27.2,32.1,32.5,28.9,21.6,13.5,7.8,-2.9,-1.8,1.1,1.6,6,9.8,13.8,14.4,10.9,5.9,2.5,.4,2.6,3.7,7.7,8.6,16.3,18.5,22.9,23.5,19.9,13.7,8,4.1,11,7,4,5,8,24,9,2,11,4,52,34,7.4,10.5,14.9,17.9,23.3,24.2,25.5,22.4,18.8,12.7,7.8,6.4,36,25,8,3,0,0,0,0,0,0,5,23,18,23,92,117,350,405,555,572,446,273,102,32,480,397,323,282,82,37,4,3,28,146,300,428,0,0,2,3,31,55,154,171,84,13,1,0,8,9,18,19,29,30,31,31,30,28,21,16,1,1,0,0,0,0,0,0,0,0,1,2,25,33,65,88,163,164,188,169,120,71,33,21,14,27,62,82,155,139,180,168,109,67,0,13,61,62,58,56,42,50,50,50,49,53,64,71
S18,Little Jameson Creek,39.74298,-120.70401,1593,6.4,5.7,11.4,11.4,22.7,24,27.2,28.4,24.9,19.1,11.3,6.3,-6.2,-5.6,-2.5,-2.4,4,6.8,9.7,9.7,6.9,2.4,-.1,-2.7,.1,.1,4.4,4.5,13.3,15.4,18.5,19.1,15.9,10.7,5.6,1.8,162,218,93,102,3,12,1,1,22,53,242,401,9,11.2,16.3,19.8,25,27.9,27.1,25.2,20.7,14.3,9.7,7.2,66,60,20,13,0,0,0,0,0,1,11,42,7,6,34,37,262,311,417,437,328,185,54,14,556,498,423,405,158,95,30,26,87,226,372,498,0,0,0,0,6,16,44,60,25,2,0,0,3,3,8,7,26,29,31,31,28,22,14,8,36,71,7,19,0,0,0,0,0,0,13,47,26,30,62,75,144,150,167,157,112,71,34,25,0,0,0,0,141,139,166,156,89,18,0,0,55,59,54,54,46,50,50,47,48,49,62,60
S29,Oregon Creek,39.39442,-121.083023,440,13.4,13.2,18.6,18.2,29,31.1,34.2,35.3,32,26.2,18.9,13.5,.1,1.8,5.1,4.8,10.8,13,16,15.5,13.4,8.7,5.9,3.9,6.7,7.5,11.8,11.5,19.9,22,25.1,25.4,22.7,17.5,12.4,8.7,204,241,112,120,2,9,1,1,23,61,268,454,6.6,9.2,15,19.2,24.7,27.8,27.3,24.8,19.4,12.5,7.6,5.3,12,9,2,1,0,0,0,0,0,0,1,7,72,83,212,195,460,510,621,630,529,386,224,125,354,290,197,203,27,10,1,1,11,60,176,286,0,0,1,2,82,126,220,229,149,33,2,1,15,18,28,27,31,30,31,31,30,30,28,26,4,3,0,0,0,0,0,0,0,0,1,3,37,43,82,98,174,185,202,190,137,90,47,35,0,0,0,0,172,177,201,190,114,30,0,0,57,63,58,58,49,50,50,47,49,50,60,62
