ID,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12
S02,Sweetwater River,32.89928,-116.5849,1168,12.8,13.9,17.9,18.7,25.8,26.8,31.2,31.9,30.4,23.2,18.4,13,2.4,.8,2.2,3.4,7.4,8.9,11.4,13.3,12.7,7.2,4.9,1.4,7.6,7.4,10,11.1,16.6,17.9,21.3,22.6,21.6,15.2,11.6,7.2,178,19,6,46,2,4,6,2,51,7,61,165,12.8,16.3,21.4,24.5,25.6,27.1,27,25,20.5,18.6,13.9,13,10,9,4,1,0,0,0,0,0,0,1,10,93,80,160,183,361,385,505,545,496,317,200,86,326,294,249,214,74,46,8,5,16,108,196,332,0,0,0,2,25,44,110,144,122,13,1,0,21,16,21,24,30,30,31,31,30,30,26,19,3,0,0,0,0,0,0,0,0,0,0,2,45,57,95,113,168,172,200,185,147,97,60,46,0,38,89,67,166,168,194,184,96,90,0,0,66,58,52,53,47,49,46,49,50,53,58,61
S07,West Fork Mojave River,34.28425,-117.375389,1092,12.7,14.2,18.5,19.1,26.3,26.7,30.7,31.3,29.4,21.9,17.8,12.6,3.3,1.6,3,4.5,8.9,10.3,13.2,14.6,14.1,8.4,6.2,2,8,7.9,10.8,11.8,17.6,18.5,22,23,21.7,15.1,12,7.3,225,11,2,17,2,6,7,1,48,8,71,192,8.4,13.3,19,22.8,25.1,26.6,26.3,24.1,18.4,15.5,9.7,8.7,9,8,3,1,0,0,0,0,0,0,1,10,103,92,182,203,390,405,525,556,501,316,210,88,314,279,227,195,56,37,6,4,15,109,186,330,0,0,1,2,37,55,125,155,127,12,2,0,24,18,24,26,31,30,31,31,30,30,28,21,3,0,0,0,0,0,0,0,0,0,0,2,41,55,95,111,166,166,190,175,133,86,54,41,0,44,92,93,164,160,183,174,85,78,0,0,69,60,52,55,50,53,51,53,56,59,64,66
S08,Redwood Creek,36.69096,-118.909607,1682,8.6,8.7,12.9,13,20.1,21.5,25.6,26,23.9,17.2,12.4,7.6,-1.4,-4.1,-1.9,.4,6.9,8.6,11.4,11.8,9.9,3.4,1.7,-3.5,3.6,2.3,5.5,6.7,13.5,15.1,18.5,18.9,16.9,10.3,7.1,2.1,351,24,24,5,3,7,7,1,36,14,162,170,9.7,15.4,20.8,24.6,27,29.3,29.2,27.8,23.2,19.4,12.8,10.5,28,35,15,6,0,0,0,0,0,1,6,39,26,14,48,71,267,301,420,432,357,174,80,15,449,435,390,340,153,103,29,28,67,239,329,491,0,0,0,0,6,14,46,57,35,1,0,0,11,5,9,16,30,30,31,31,30,24,19,6,24,3,1,0,0,0,0,0,0,0,5,19,32,40,71,83,125,131,154,141,107,69,39,30,0,16,47,77,122,125,147,140,71,55,0,0,65,56,52,59,59,61,58,58,58,57,65,67
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,9.6,10.6,15,16.5,23.4,25.1,28.7,29.1,26.9,19.9,14,9,2.1,-.3,2,4,9.6,11.2,14.3,14.8,12.8,6.7,5.1,.2,5.8,5.1,8.5,10.3,16.5,18.1,21.5,22,19.9,13.3,9.6,4.6,271,38,25,2,2,2,7,0,28,17,136,175,8.9,14.7,20.7,24.3,26.9,28.9,28.3,26.7,21.7,18.1,11.6,10,16,17,6,2,0,0,0,0,0,0,3,21,55,39,115,161,358,394,511,525,446,259,143,38,381,356,296,233,76,42,7,7,28,158,254,414,0,0,0,1,24,48,114,126,84,5,0,0,21,13,21,25,31,30,31,31,30,29,26,15,8,1,0,0,0,0,0,0,0,0,2,7,31,43,76,95,141,150,168,155,118,76,40,29,0,5,52,92,139,148,161,155,90,59,0,0,75,63,59,61,59,59,59,59,59,59,71,75
S11,Mill Creek,34.07808,-116.87558,1990,7.5,8.4,12.5,13.7,21,21.6,25.2,25.5,23.8,17.4,12.5,7.5,-3.7,-5.5,-4,-2.1,3,5.4,8.4,9.3,7.9,1.9,-.6,-4.7,1.9,1.4,4.3,5.8,12,13.5,16.8,17.4,15.8,9.7,5.9,1.4,237,11,3,60,2,4,24,1,72,10,86,219,14.8,18.5,23.7,25.8,27.6,29.4,29,27.5,23.5,21.8,16.5,14.8,44,44,21,8,0,0,0,0,0,2,10,46,14,10,32,55,218,255,366,384,326,156,58,12,502,460,428,367,194,139,58,51,88,259,363,511,0,0,0,0,3,7,21,31,25,1,0,0,7,3,5,8,24,28,31,31,29,20,13,5,30,2,0,6,0,0,0,0,1,0,4,31,35,43,75,92,142,142,162,149,116,77,46,35,0,32,73,33,140,138,138,148,44,67,0,0,60,52,46,49,47,52,51,53,53,52,57,57
S15,Rock Creek,43.37876,-122.952072,1168,7.4,8.6,10,12.1,19.8,20,25.6,26.6,23.2,15,11,8,.5,.3,1.2,2.3,6.7,8.4,11.5,12.2,11.6,6.4,3.8,0,3.9,4.4,5.6,7.2,13.3,14.2,18.6,19.4,17.4,10.7,7.4,4,441,174,272,242,119,100,24,63,152,320,251,204,4.2,7.9,10.5,14.2,18.5,21.8,24,20.3,14,8.4,4.6,4.5,26,20,14,5,0,0,0,0,0,1,6,24,29,30,50,82,260,276,421,447,373,185,88,31,439,377,386,325,160,123,29,22,59,226,318,431,1,0,1,2,12,9,46,67,41,4,1,0,16,14,19,21,29,30,31,31,30,29,24,15,26,9,10,11,0,0,0,0,1,1,7,10,20,28,47,68,117,116,146,133,86,45,24,18,0,0,0,0,0,16,122,69,0,0,0,0,76,72,70,68,60,64,58,58,65,72,76,76
S16,O'Neil Creek,41.80979,-123.118874,1092,7.6,9.3,12.6,14.4,22.9,23.6,29.3,29.4,25.8,16.8,12.3,7.8,-.2,-1,.5,2,6.7,8.8,13.4,13.7,11.6,6.2,3.3,-1.2,3.7,4.2,6.5,8.2,14.8,16.2,21.3,21.6,18.7,11.5,7.8,3.3,232,60,67,60,23,33,8,26,35,97,129,79,5.7,10,13.3,16.4,20.8,24.3,25.2,21.3,16.2,11.3,6.6,6.1,28,22,11,3,0,0,0,0,0,1,5,29,27,28,66,105,306,335,506,513,412,206,96,24,447,383,359,295,117,78,8,8,40,205,308,452,1,0,1,3,20,22,111,117,62,6,1,0,14,11,16,20,29,30,31,31,30,29,23,12,15,3,1,1,0,0,0,0,0,0,3,5,22,33,60,81,138,141,169,150,103,54,30,21,0,0,0,21,115,108,160,123,68,0,0,0,73,65,61,60,52,56,55,55,58,66,70,76
S17,Deep Creek,41.66546,-123.113411,680,7.7,10.6,14.7,17.6,26.3,27.1,33,32.8,29,20,13.5,7.8,-1,-1,1.2,3.1,7.5,9.8,14.2,14.2,11.5,5.9,3,-1.9,3.3,4.8,7.9,10.3,16.9,18.5,23.6,23.5,20.3,13,8.3,3,38,5,3,7,10,26,10,16,13,16,30,11,6.7,10.9,14.2,16.9,21.1,24.5,25.5,22,17.5,12.7,8,7.3,30,19,7,2,0,0,0,0,0,0,4,31,24,34,100,164,369,403,576,573,458,249,108,21,457,367,314,231,69,38,3,3,25,167,293,463,1,0,2,5,38,54,175,173,93,10,2,0,12,11,18,23,30,30,31,31,30,28,23,10,3,0,0,0,0,0,0,0,0,0,1,1,23,36,67,95,158,163,194,172,119,66,33,22,0,31,64,88,148,137,185,156,106,50,3,0,69,61,57,55,47,50,49,49,51,57,66,73
S18,Little Jameson Creek,39.74298,-120.70401,1593,6.1,7.9,12.3,13.1,21.1,21.6,26.9,26.8,24.2,16.8,10.8,5.7,-3.5,-4.6,-3.4,-1.2,4.2,6.3,9.1,8.8,7.2,1.6,-.2,-4.7,1.3,1.7,4.5,5.9,12.7,13.9,18,17.8,15.7,9.2,5.3,.5,551,35,55,60,20,50,6,22,20,76,242,144,7.8,12.6,16.6,19.4,23.1,26.4,27.7,25.1,20.2,15.2,9.7,8.1,50,41,20,8,0,0,0,0,0,2,12,57,11,11,34,57,241,267,403,398,321,143,49,9,519,453,422,363,177,130,37,43,92,275,381,539,0,0,0,0,4,8,36,37,23,1,0,0,7,4,6,10,26,29,31,31,28,20,14,5,83,6,4,5,0,0,0,0,0,0,14,28,24,35,66,82,135,135,166,149,108,64,33,23,0,0,11,22,115,85,160,127,88,0,0,0,65,56,48,54,49,54,49,49,50,53,63,69
S29,Oregon Creek,39.39442,-121.083023,440,13.1,15.5,19.8,20.5,27.7,28.9,34.3,34,31.7,24,18.5,13,2.8,2.8,4.3,6.3,11,12.5,15.5,14.9,13.8,8,5.8,1.7,7.9,9.1,12.1,13.4,19.4,20.7,24.9,24.5,22.8,16,12.2,7.3,565,24,68,57,19,31,2,11,16,81,290,167,5.3,10.7,15.4,19,22.8,26.4,27.9,24.5,19,13.7,7.5,6.3,9,6,2,0,0,0,0,0,0,0,1,10,101,123,222,253,444,470,615,602,531,342,217,88,316,244,191,152,32,16,1,2,11,88,182,329,0,0,2,5,70,95,214,202,151,18,2,0,23,21,26,28,31,30,31,31,30,30,27,20,7,0,0,0,0,0,0,0,0,0,1,2,35,49,88,108,164,171,204,183,135,83,46,32,0,25,20,51,144,140,202,172,118,2,0,0,66,60,53,57,52,53,49,48,51,53,60,69
