ID,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12
S02,Sweetwater River,32.89928,-116.5849,1168,16.9,15.9,17.4,20.1,24.9,27.9,32.7,31.6,30.2,25.7,19.8,14.6,2.9,3.7,4.8,5.6,7.7,10.9,14.7,14.1,13.6,9.6,5.6,4.5,9.9,9.8,11.1,12.8,16.3,19.4,23.7,22.9,21.9,17.6,12.7,9.5,1,68,75,32,2,2,2,34,3,2,19,234,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,5,3,1,0,0,0,0,0,0,1,5,156,140,192,237,351,431,579,553,507,391,232,148,256,226,215,167,81,27,3,4,14,57,168,260,0,0,1,4,22,71,178,153,131,36,3,1,23,23,27,28,30,30,31,31,30,31,27,27,0,0,0,0,0,0,0,0,0,0,0,1,57,60,89,116,160,174,203,181,143,104,64,49,55,0,14,85,158,172,201,147,140,102,45,23,56,61,60,56,50,52,51,51,53,53,57,58
S07,West Fork Mojave River,34.28425,-117.375389,1092,17,15.8,18.1,20.2,25.3,27.6,32.8,31,29,23.9,19,14.1,3.7,4.6,5.6,6.9,9.1,12.4,16.4,15.6,15.7,11.5,7.4,5.5,10.3,10.2,11.9,13.5,17.2,20,24.6,23.3,22.4,17.7,13.2,9.8,4,98,36,22,1,2,1,20,14,5,14,207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,4,2,0,0,0,0,0,0,0,1,5,169,150,213,258,379,449,605,566,520,392,247,155,242,215,196,147,63,21,2,4,12,56,156,252,0,0,2,6,32,82,204,166,142,36,4,1,25,24,29,29,31,30,31,31,30,31,29,29,0,0,0,0,0,0,0,0,0,0,0,1,53,56,88,112,158,166,196,169,127,89,56,45,50,0,52,90,157,164,195,150,113,84,42,25,58,64,61,59,53,56,55,57,62,63,64,60
S08,Redwood Creek,36.69096,-118.909607,1682,13.8,10.9,12.7,14.4,19.3,23.9,28.4,26.8,24.8,20.6,14.1,10.5,-1.9,-1.4,.5,2.4,6.5,10.5,14.3,13,11.4,6.8,2.3,.6,6,4.7,6.6,8.4,12.9,17.2,21.4,19.9,18.1,13.7,8.2,5.6,32,171,51,63,5,2,1,2,29,39,36,250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15,19,11,3,0,0,0,0,0,0,4,16,58,34,68,110,248,365,507,463,393,271,106,53,376,367,356,289,170,58,8,18,48,147,295,383,0,0,0,0,5,34,112,79,51,6,0,0,10,10,16,21,29,30,31,31,30,29,21,17,1,8,1,1,0,0,0,0,0,0,1,6,44,44,68,87,121,143,166,143,109,78,43,34,13,0,17,23,116,140,164,141,80,39,7,14,50,59,60,61,60,60,59,60,60,58,62,53
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,14.6,12.7,14.7,17.8,22.7,27,31.3,29.6,27.4,23,15.6,11.6,1.8,2.5,4.3,6.1,9.2,13.2,17,15.7,14.4,10.1,5.8,4.3,8.2,7.6,9.5,11.9,16,20.1,24.2,22.7,20.9,16.5,10.7,7.9,23,149,48,55,4,2,1,2,21,27,28,228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,9,4,1,0,0,0,0,0,0,2,8,109,85,145,206,341,452,593,546,477,358,175,104,307,287,265,192,89,21,2,5,20,77,220,309,0,0,0,3,19,84,192,146,107,23,1,0,20,20,27,28,31,30,31,31,30,31,27,26,0,2,0,0,0,0,0,0,0,0,0,2,45,46,71,97,137,157,179,155,117,83,44,35,22,0,23,42,134,156,178,153,96,56,16,19,59,66,66,63,59,60,60,60,62,61,68,61
S11,Mill Creek,34.07808,-116.87558,1990,11.7,10.2,12.1,14.9,19.8,22.6,27,25.2,23.6,19.7,13.7,9.1,-3.1,-2.7,-1.4,.1,3.1,7.5,11.6,10.1,9.2,4.7,.3,-1.4,4.3,3.8,5.4,7.5,11.5,15.1,19.3,17.6,16.4,12.2,7,3.8,3,98,51,32,2,1,3,38,20,5,18,270,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,24,15,4,0,0,0,0,0,1,7,25,33,24,46,89,204,301,444,392,343,226,78,29,429,394,394,315,208,103,21,46,76,187,331,436,0,0,0,0,2,14,62,35,30,3,0,0,8,7,11,15,24,29,31,31,29,27,15,11,0,7,2,1,0,0,0,0,0,0,1,14,45,47,72,96,135,144,167,145,113,83,49,37,42,0,20,64,133,143,164,107,93,78,30,10,51,56,56,53,49,55,55,56,57,54,57,51
S15,Rock Creek,43.37876,-122.952072,1168,8.4,7.9,11.3,14.4,19.2,21.8,28.5,27.7,25,18.9,10.5,10.5,.4,1.2,2.1,3,6.4,9,13.1,13.2,12.2,9.5,3.2,3.4,4.4,4.6,6.7,8.7,12.8,15.4,20.8,20.4,18.6,14.2,6.8,7,134,508,521,170,92,65,16,33,172,345,269,419,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,20,10,3,0,0,0,0,0,0,7,11,34,32,71,118,245,311,490,478,408,286,76,81,425,373,352,280,174,96,10,14,41,134,335,339,1,0,1,3,10,16,98,90,60,15,1,1,16,17,21,23,29,30,31,31,30,31,23,25,7,25,10,3,1,0,0,0,0,0,9,5,22,26,51,77,113,126,161,137,94,53,24,17,0,0,0,0,22,62,146,104,0,0,0,0,72,77,69,63,60,61,56,58,62,71,75,70
S16,O'Neil Creek,41.80979,-123.118874,1092,9.4,9.5,13.1,16.6,21.9,25.5,31.7,30.1,27.2,20.3,12.5,10.3,-.5,.4,1.6,2.8,6.5,9.6,15.2,14.9,12.6,9.2,3.3,3.3,4.4,5,7.3,9.7,14.2,17.6,23.5,22.5,19.9,14.8,7.9,6.8,42,231,188,33,16,12,3,14,64,115,96,232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,18,8,2,0,0,0,0,0,0,5,11,35,37,85,146,288,376,572,542,446,304,98,76,424,361,333,250,133,51,3,5,28,119,305,345,1,0,2,4,16,39,171,141,84,19,1,1,14,15,20,23,29,30,31,31,30,31,23,24,2,9,2,0,0,0,0,0,0,0,2,3,26,32,60,90,132,152,181,151,108,61,30,20,0,0,0,57,116,140,179,137,43,0,0,0,66,69,63,57,54,53,54,57,57,66,70,66
S17,Deep Creek,41.66546,-123.113411,680,9.5,10.8,15.2,19.8,25.3,29.1,35.4,33.5,30.3,23.4,13.8,10.2,-1.3,.4,2.3,3.9,7.3,10.6,16.1,15.3,12.5,8.9,3.1,2.7,4.1,5.6,8.7,11.8,16.3,19.8,25.7,24.4,21.4,16.2,8.4,6.5,7,20,8,4,7,8,3,8,25,19,21,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25,15,6,1,0,0,0,0,0,0,4,12,31,46,122,204,351,444,641,601,491,347,112,69,433,344,289,194,81,23,1,2,17,85,288,355,1,0,3,8,31,79,240,201,119,31,2,1,12,14,22,25,30,30,31,31,30,31,23,23,0,1,0,0,0,0,0,0,0,0,0,1,27,36,68,105,153,174,207,173,124,74,33,20,20,16,59,101,145,166,204,165,99,55,12,18,63,65,59,52,48,48,48,50,50,57,65,63
S18,Little Jameson Creek,39.74298,-120.70401,1593,10.1,8.9,11.7,15.1,19.9,24.6,29.6,27.3,25,20.3,11.9,8.5,-3.5,-2.4,-1.8,0,3.8,7.4,11.4,9.9,8.5,4.4,.3,.1,3.3,3.2,4.9,7.5,11.9,16,20.5,18.6,16.8,12.3,6.1,4.3,54,244,124,72,26,3,3,26,49,55,104,420,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31,28,17,4,0,0,0,0,0,1,9,22,23,19,40,89,215,330,481,421,353,230,62,35,460,410,407,315,198,82,12,32,70,184,357,421,0,0,0,0,3,21,91,50,34,3,0,0,7,8,10,14,25,29,31,31,29,26,15,15,4,22,7,3,0,0,0,0,0,0,5,18,32,36,62,90,128,153,180,150,109,73,35,0,0,0,0,18,102,150,177,123,60,17,0,0,54,61,55,52,51,50,49,50,52,52,62,56
S29,Oregon Creek,39.39442,-121.083023,440,17.2,16.4,19.2,22.2,26.7,31.7,36.7,34.5,32.4,27.5,19.7,15.7,2.7,4.8,6,7.3,10.6,13.5,17.7,16,15.1,10.6,6.3,6.5,9.9,10.6,12.6,14.8,18.6,22.6,27.2,25.3,23.7,19.1,13,11.1,43,249,139,92,15,2,1,7,40,56,114,523,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,4,2,0,0,0,0,0,0,0,1,4,157,160,238,294,422,529,687,626,561,435,241,190,255,203,177,115,41,7,0,1,8,37,161,217,0,1,2,11,55,144,286,226,173,61,4,2,22,25,29,29,31,30,31,31,30,31,28,30,0,1,0,0,0,0,0,0,0,0,0,1,44,49,83,115,157,189,216,184,136,93,49,34,1,0,0,23,142,187,215,177,96,37,0,0,55,63,59,55,54,50,49,50,52,52,59,56
