ID,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12
S02,Sweetwater River,32.89928,-116.5849,1168,16.7,13.1,15.4,16.4,21.8,25.9,31.9,31.4,28.4,24.2,16,13.6,3.4,2.6,2.6,3.1,6.2,9.7,13.9,14.2,11.8,9.1,3.7,2.2,10.1,7.9,9,9.8,14,17.8,22.9,22.8,20.1,16.7,9.8,7.9,9,239,129,60,28,2,11,12,2,2,55,45,13.8,14.4,21.1,23.8,25.7,27.5,26.4,24.4,22.8,19,13.5,12.6,5,8,5,2,0,0,0,0,0,0,2,8,161,91,129,147,282,384,554,550,452,361,150,103,250,279,281,249,139,47,4,5,26,75,246,310,0,0,0,1,8,43,153,150,88,24,0,0,24,20,23,23,29,30,31,31,30,31,24,21,0,2,1,1,0,0,0,0,0,0,1,0,56,52,83,100,142,163,198,179,137,99,54,42,47,0,0,40,114,161,187,168,135,96,0,0,58,66,59,58,53,53,50,52,53,55,61,65
S07,West Fork Mojave River,34.28425,-117.375389,1092,16.5,13.3,16.3,16.3,22.3,25.9,32.1,30.7,27.5,22.8,15.3,13.1,4.4,3.1,3.6,4.5,7.5,11.2,15.5,15.4,13.4,10.7,4.8,3.3,10.4,8.2,10,10.4,14.9,18.6,23.8,23.1,20.5,16.7,10.1,8.2,3,241,129,69,70,12,11,7,1,6,60,59,9.5,11.7,18.6,21.4,25,27.6,25.9,23.4,20.6,15.8,9.5,7.9,4,7,4,1,0,0,0,0,0,0,2,8,172,100,158,164,310,406,582,559,463,364,157,111,239,270,251,231,114,36,2,4,23,73,239,301,0,0,0,1,12,55,181,158,96,25,0,0,26,22,25,26,30,30,31,31,30,31,26,24,0,2,0,0,0,0,0,0,0,0,1,0,51,50,83,95,142,157,193,167,124,85,48,38,48,0,0,26,72,145,182,161,122,79,0,0,62,67,60,63,55,57,54,57,59,64,66,69
S08,Redwood Creek,36.69096,-118.909607,1682,11.9,8.3,11.1,9.3,17.3,22.9,28.4,26.5,24.3,20.3,10.6,9.2,.2,-3.4,-1.1,.2,5.4,9.9,13.8,12.8,9.8,6.1,-.2,-1,6.1,2.4,5,4.7,11.4,16.4,21.1,19.7,17.1,13.2,5.2,4.1,24,184,72,162,74,2,8,8,7,3,71,212,10.2,14.2,20.2,22.5,27,31.3,28.7,26.5,24.5,19.5,12.8,8.9,15,34,17,12,0,0,0,0,0,0,12,23,59,14,41,40,201,341,498,455,363,256,48,32,374,432,405,398,211,74,9,20,64,161,383,428,0,0,0,0,2,24,105,73,37,5,0,0,15,6,12,15,28,30,31,31,30,29,14,12,1,24,4,27,1,0,0,0,0,0,4,10,39,39,64,65,111,137,167,142,110,77,37,31,15,0,0,0,37,135,159,134,103,75,0,0,61,59,59,69,63,61,58,60,57,57,64,64
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,12.6,10.1,13.1,13,20.5,25.7,31.3,29.3,26.8,22.4,12.2,10.2,3.3,.6,2.6,3.8,8,12.4,16.4,15.5,12.6,9.3,3.3,2.3,7.9,5.4,7.8,8.4,14.2,19,23.9,22.4,19.7,15.8,7.7,6.3,14,222,68,162,67,1,7,7,4,2,72,161,9.6,13.4,20.1,22.4,26.9,30.8,28,25.4,23.2,18.3,11.5,8.5,9,16,7,3,0,0,0,0,0,0,5,13,101,42,97,111,289,421,583,539,441,336,95,65,316,350,317,288,133,31,2,6,30,93,309,362,0,0,0,0,9,64,183,139,80,17,0,0,24,15,23,25,30,30,31,31,30,31,23,22,0,7,1,3,0,0,0,0,0,0,2,3,38,41,67,76,125,150,181,154,118,82,38,30,24,0,0,0,58,149,174,147,113,80,0,0,69,68,66,70,62,61,58,60,59,60,71,73
S11,Mill Creek,34.07808,-116.87558,1990,11.3,7.6,10.1,11,17.1,20.9,26.4,24.9,22,18.7,10,8.1,-2.5,-4,-3.5,-2.3,1.6,6.3,10.9,10.1,7.1,4.1,-2,-3.6,4.4,1.8,3.3,4.4,9.3,13.6,18.7,17.5,14.5,11.4,4,2.2,4,246,172,89,76,7,33,8,2,8,97,67,15.8,16.8,23.2,24.8,27.8,30.4,28.4,26.7,25.8,22,16.2,14.1,23,40,27,13,1,0,0,0,0,1,18,38,34,11,23,35,143,257,423,389,287,202,33,16,425,450,457,409,269,137,28,48,120,208,421,486,0,0,0,0,1,7,48,33,16,2,0,0,9,5,6,8,19,29,31,31,28,26,9,6,0,41,25,18,3,0,0,0,0,0,9,7,43,40,66,80,120,135,164,143,108,79,40,32,39,0,0,0,44,128,132,135,106,71,0,0,54,59,54,55,52,56,55,56,55,55,59,61
S15,Rock Creek,43.37876,-122.952072,1168,9.7,8.6,9.8,10.2,16.3,22.8,27.7,26,24.3,17.9,8.5,8.5,3.4,.2,2.5,2.6,4.7,9.1,12.2,11.8,11.1,8,1.1,2.1,6.6,4.4,6.1,6.4,10.5,15.9,19.9,18.9,17.7,12.9,4.8,5.3,353,184,347,377,78,7,2,20,86,72,364,647,4.1,8.6,9.3,13.5,20,25.6,25.5,20.1,16,9,4.2,3.2,13,21,12,6,0,0,0,0,0,0,14,17,69,30,59,65,176,327,463,432,381,249,42,48,358,377,370,349,231,84,15,28,54,167,397,392,2,0,1,1,5,20,77,57,45,10,0,1,24,14,22,22,27,30,31,31,30,30,18,21,8,10,10,26,2,0,0,0,0,0,26,18,21,28,44,57,100,133,159,130,93,52,22,18,0,0,0,0,22,126,157,111,7,0,0,0,79,71,75,74,63,59,55,58,61,69,75,78
S16,O'Neil Creek,41.80979,-123.118874,1092,9.9,8.6,11.5,11.6,19.1,25.9,30.8,29,26.7,19.9,9.7,8.5,2.8,-1.6,1.4,2,4.9,9.6,14.5,14.2,11.4,7.8,1.3,1.7,6.3,3.5,6.4,6.8,12,17.8,22.7,21.6,19,13.9,5.5,5.1,164,73,152,131,16,2,2,13,15,12,116,258,5.5,10.3,12,15.2,22.6,27.6,25.7,20.9,17.8,12.2,6.4,4.7,14,26,11,6,0,0,0,0,0,0,11,18,64,22,65,73,223,382,547,514,421,276,52,45,366,402,361,337,194,48,4,8,36,143,375,398,1,0,1,2,8,42,147,118,67,14,1,0,23,9,19,20,27,30,31,31,30,30,18,20,4,6,4,7,0,0,0,0,0,0,6,8,24,32,54,67,118,155,177,145,108,62,26,20,0,0,0,0,102,153,175,133,93,50,0,0,76,64,67,68,56,53,54,58,55,63,71,75
S17,Deep Creek,41.66546,-123.113411,680,10,9.8,13.6,14.8,22.5,29.4,34.5,32.5,29.8,23.1,11,8.4,1.9,-1.8,2.1,3,5.7,10.6,15.4,14.8,11.3,7.5,1.1,1,5.9,4,7.8,8.9,14.1,20,25,23.6,20.6,15.3,6,4.7,27,6,7,16,7,1,3,8,5,2,27,35,6.5,11.1,12.8,15.7,22.8,27.7,25.9,21.5,19,13.6,7.8,5.9,15,23,7,3,0,0,0,0,0,0,9,20,57,26,97,124,286,450,617,576,466,321,60,40,377,387,318,274,135,21,1,3,23,105,360,409,1,0,2,3,16,83,216,175,99,23,1,0,20,9,21,23,29,30,31,31,30,30,18,18,1,0,0,0,0,0,0,0,0,0,1,1,25,35,62,81,138,177,203,168,124,74,29,21,0,29,55,65,131,176,199,160,119,73,3,0,73,61,63,62,50,48,48,51,48,54,67,73
S18,Little Jameson Creek,39.74298,-120.70401,1593,9.4,6.6,10.5,9.6,17.9,24.2,29.5,27.3,25.1,20.5,8.4,6.7,-1,-5.3,-2.4,-1.4,3,7.5,11.5,10.8,7.5,3.9,-1.6,-1.4,4.2,.7,4,4.1,10.4,15.9,20.5,19.1,16.3,12.2,3.4,2.7,126,90,135,224,55,6,4,48,3,7,116,423,7.8,12.2,15.8,17.3,23.1,29.3,27.1,23.8,21.1,15.5,9.7,6.4,24,52,22,15,0,0,0,0,0,1,22,34,33,7,30,32,174,325,481,436,340,226,27,19,430,481,435,417,232,85,12,26,79,188,438,473,0,0,0,0,1,20,91,59,29,3,0,0,12,3,8,10,24,29,31,31,29,25,10,11,7,24,13,51,1,0,0,0,0,0,14,36,29,32,58,66,117,150,179,148,112,74,29,23,0,0,0,0,62,144,175,100,108,67,0,0,65,57,56,63,54,51,49,52,49,50,65,67
S29,Oregon Creek,39.39442,-121.083023,440,16,14.3,17.8,16.6,24.3,31.2,36.5,34.4,32.4,27.6,16.2,13.9,5.1,2.1,5.1,5.9,9.8,13.6,17.7,16.5,14.2,10.1,4.3,4.7,10.6,8.2,11.5,11.3,17,22.4,27.1,25.5,23.3,18.8,10.2,9.3,138,94,149,247,59,2,2,18,3,7,132,475,5.4,10.2,14.5,16.5,22.6,29,27.1,23.5,19.9,14,7.5,4.4,4,7,2,1,0,0,0,0,0,0,2,6,175,99,203,189,374,521,684,632,548,428,161,142,236,271,206,209,66,8,0,1,9,40,234,266,0,0,1,2,30,137,283,232,164,56,0,1,28,19,28,28,31,30,31,31,30,31,25,27,1,1,0,1,0,0,0,0,0,0,1,2,39,46,78,87,143,184,215,181,138,94,42,33,0,0,0,0,84,182,213,163,135,87,0,0,65,61,60,66,57,51,50,51,50,50,62,67
