ID,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12
S02,Sweetwater River,32.89928,-116.5849,1168,12.7,13.2,16.4,19,23.2,27.8,31.6,30.9,28.9,22.4,18.5,15.1,0,.4,3.7,5.2,7.5,10.7,13.8,13.3,11.7,6.4,5.5,1.8,6.4,6.8,10,12.1,15.3,19.3,22.7,22.1,20.3,14.4,12,8.4,71,34,85,4,31,2,24,2,3,15,85,26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14,11,4,1,0,0,0,0,0,0,1,7,65,67,160,216,322,427,549,528,459,294,213,117,364,311,249,187,103,28,4,7,24,127,185,294,0,0,0,3,14,68,148,128,93,9,2,0,15,14,25,27,30,30,31,31,30,29,27,20,2,1,0,0,0,0,0,0,0,0,0,0,47,55,86,111,149,174,197,178,140,95,60,41,0,21,1,106,118,173,173,176,137,79,0,0,59,59,60,58,53,51,51,51,52,52,60,69
S07,West Fork Mojave River,34.28425,-117.375389,1092,12.7,13.4,17.1,19.4,23.8,27.6,32,30.1,27.6,20.6,18.1,14.7,.7,1.1,4.7,6.6,8.9,12.3,15.6,14.5,13.8,8.3,6.7,2.2,6.7,7.3,10.9,13,16.4,19.9,23.8,22.3,20.7,14.5,12.4,8.5,58,27,58,4,26,2,8,1,5,9,58,19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12,10,3,1,0,0,0,0,0,0,1,7,73,77,186,243,353,447,581,536,471,295,224,118,353,297,223,162,80,22,2,6,21,127,176,294,0,0,1,5,22,81,180,135,103,9,2,0,17,16,27,29,31,30,31,31,30,30,28,21,1,0,0,0,0,0,0,0,0,0,0,0,44,53,85,108,148,166,192,166,124,80,54,36,0,25,27,104,122,165,185,165,119,71,0,0,61,60,61,60,56,56,54,56,60,62,64,73
S08,Redwood Creek,36.69096,-118.909607,1682,9.1,8.9,12.5,14.5,18.3,23.7,28.4,26.3,23.4,17.1,14,10.1,-5,-5.3,-.3,2.2,6.4,10.5,13.5,12,10.1,3.4,1,-4.3,2.1,1.8,6.1,8.4,12.4,17.1,21,19.1,16.7,10.3,7.5,2.9,59,54,48,18,11,4,2,2,9,8,68,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42,40,12,3,0,0,0,0,0,1,6,32,15,11,58,110,233,362,495,437,352,173,89,21,496,449,372,290,184,60,9,26,71,240,317,466,0,0,0,0,4,33,102,60,33,1,0,0,5,3,14,21,29,30,31,31,30,24,17,5,7,9,1,0,0,0,0,0,0,0,2,2,35,41,68,87,115,141,168,143,104,69,44,29,0,0,20,70,104,137,166,140,95,61,0,0,52,51,58,60,63,61,57,58,60,57,58,65
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,10.1,10.7,14.4,17.9,21.6,26.9,31.3,29,26,19.5,15.4,11.5,-1.2,-1.3,3.6,6,9,13.2,16.4,14.7,12.8,6.7,4.5,-.4,4.4,4.7,9,11.9,15.3,20.1,23.8,21.9,19.4,13.1,9.9,5.6,55,48,49,15,11,3,1,1,6,7,63,17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,19,5,1,0,0,0,0,0,0,2,16,35,34,129,205,322,451,583,523,431,253,153,52,424,369,281,192,103,21,2,7,33,163,243,383,0,0,0,3,14,84,182,125,74,5,0,0,12,10,25,28,31,30,31,31,30,29,25,14,3,2,0,0,0,0,0,0,0,0,1,0,36,44,71,98,130,156,181,154,113,74,45,29,0,0,22,83,120,154,180,153,106,67,0,0,62,60,65,63,62,60,58,59,61,60,65,76
S11,Mill Creek,34.07808,-116.87558,1990,7.5,7.7,11.2,14.2,18.5,22.7,26.2,24.4,22.2,16.5,12.7,9.7,-6.1,-6,-2.3,-.1,3,7.3,10.8,9.2,7.3,1.5,0,-4.6,.7,.8,4.4,7,10.7,15,18.5,16.8,14.7,9,6.3,2.6,74,31,77,7,35,1,30,3,8,16,97,27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58,50,20,5,0,0,0,0,0,2,8,35,9,8,34,78,184,300,419,367,293,138,65,18,539,476,423,330,225,105,29,62,114,280,351,476,0,0,0,0,2,13,45,24,17,1,0,0,3,3,8,14,24,29,31,31,28,19,15,5,14,8,6,0,1,0,0,0,0,0,4,2,36,42,69,92,126,145,163,142,109,74,46,31,0,11,0,86,91,144,133,139,100,58,0,0,52,51,55,54,53,54,55,55,55,53,59,64
S15,Rock Creek,43.37876,-122.952072,1168,5.7,8.3,10.6,13.6,18.3,22.1,28.1,26.2,22,15.9,10.1,5.6,-1.1,.5,.9,2.6,5.8,9.3,12.3,12.7,13.2,4.6,1.7,-2.9,2.3,4.4,5.7,8.1,12,15.7,20.2,19.4,17.6,10.2,5.9,1.4,175,98,111,180,124,55,2,30,272,44,178,82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39,21,14,3,0,0,0,0,0,1,10,47,16,30,52,102,222,321,471,447,377,172,59,12,489,377,382,299,194,88,14,22,56,242,362,512,0,0,1,2,8,18,83,67,43,3,1,0,12,15,18,22,29,30,31,31,30,27,19,8,19,5,4,5,1,0,0,0,1,0,8,12,18,27,50,74,110,127,161,129,76,51,25,17,0,0,0,0,0,73,159,99,0,7,0,0,75,73,68,64,61,61,55,60,73,64,72,80
S16,O'Neil Creek,41.80979,-123.118874,1092,6.3,8.8,12.5,16.1,21,25.5,31.5,29.3,24.7,17.5,12.2,6.1,-2.6,-1.8,.4,2.7,6.1,10,14.4,14.3,12.8,4.7,1.3,-3.7,1.8,3.5,6.4,9.4,13.6,17.8,23,21.8,18.8,11.1,6.7,1.2,62,32,51,43,25,13,1,10,69,8,52,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,26,11,2,0,0,0,0,0,1,7,49,14,22,65,137,269,382,556,520,413,196,73,11,504,402,361,259,151,48,4,8,40,214,339,517,0,0,1,4,13,42,155,122,62,5,1,0,8,9,16,22,29,30,31,31,30,27,18,6,8,3,1,1,0,0,0,0,0,0,2,3,22,33,60,88,127,151,182,148,94,59,31,19,0,1,9,44,103,138,181,138,26,51,0,0,68,63,60,58,55,55,53,57,64,60,64,76
S17,Deep Creek,41.66546,-123.113411,680,6.5,10.1,14.6,19.3,24.4,29.1,35.1,32.8,27.9,20.7,13.5,6.2,-3.5,-2,1.1,3.8,6.9,11,15.3,14.7,12.6,4.4,1.1,-4.4,1.5,4,7.8,11.6,15.7,20,25.2,23.7,20.3,12.6,7.3,.9,10,3,2,5,11,10,1,6,26,1,11,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,48,23,7,1,0,0,0,0,0,0,6,52,12,26,97,197,332,450,625,580,458,237,85,10,515,387,317,201,96,21,1,3,25,178,322,527,0,0,2,8,26,83,224,180,92,8,1,0,7,8,18,25,30,30,31,31,30,26,18,5,1,0,0,0,0,0,0,0,0,0,0,0,23,36,67,102,147,173,207,170,112,70,34,20,13,33,65,97,136,163,206,164,86,69,23,0,64,59,57,53,49,49,47,51,56,51,60,74
S18,Little Jameson Creek,39.74298,-120.70401,1593,5.2,7.6,12,15.2,18.9,24.2,29.8,27.1,23.2,17.2,12.2,5.9,-7.8,-6.3,-2.9,.1,3.7,7.5,10.6,9.6,8,.6,-1.4,-7.1,-1.3,.6,4.6,7.6,11.3,15.9,20.2,18.3,15.6,8.9,5.4,-.6,53,20,79,53,39,19,6,22,32,19,86,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91,53,19,4,0,0,0,0,0,2,12,75,4,7,36,92,200,325,471,413,319,136,50,6,599,483,419,312,212,85,14,36,94,283,380,575,0,0,0,0,2,20,83,45,23,1,0,0,2,2,7,14,25,29,31,31,29,17,11,2,18,5,6,2,0,0,0,0,0,0,5,17,0,35,64,90,122,150,183,149,102,66,36,22,0,15,0,37,83,131,177,127,70,47,0,0,52,51,51,52,53,51,47,50,55,49,55,67
S29,Oregon Creek,39.39442,-121.083023,440,12.8,15.3,19.4,22.5,25.7,31.3,36.7,34.3,30.7,24.6,20,13.4,-1.2,.8,4.8,7.5,10.5,13.7,16.9,15.5,14.4,7.1,4.5,-.4,5.8,8.1,12.1,15,18.1,22.5,26.8,24.9,22.5,15.9,12.3,6.5,56,22,88,60,27,13,2,6,28,13,88,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16,8,2,0,0,0,0,0,0,0,1,12,55,96,225,301,406,525,675,614,524,338,219,71,382,274,189,109,48,8,1,2,12,91,180,353,0,0,2,12,45,141,274,214,145,17,2,0,12,16,27,29,31,30,31,31,30,30,25,14,2,0,0,0,0,0,0,0,0,0,0,1,37,50,86,116,150,185,219,183,128,86,51,32,0,28,0,56,123,172,218,177,100,73,0,0,54,54,55,55,56,51,47,49,54,49,53,68
